kvk,naam,boekjaar,accountant,sbi,plaats
24436381,Mohs Klinieken B.V.,2024,aaff,86221,
95067019,Prins Beheer B.V.,2024,aaff,64210,
08195612,Fysio Centrum Nijverdal,2024,aaff,86950,
24354519,ZHE Heijningen B.V.,2024,aaff,46610,
56802560,Nafra Beheermaatschappij B.V.,2024,aaﬀ,64210,
08216235,Broekhuis Beheer B.V.,2024,aaff,47810,
24439271,Hitmetal Holding B.V.,2024,aaff RA,64210,
17150682,Goudsmit Magnetics Groep B.V.,2023,aaff RA,64210,
38018450,NEFAB PACKAGING NETHERLANDS B.V.,2024,aaff,16240,
85998656,Zorghoeve 't Binnenveld,2024,aaff,88103,
08214490,Jellice Pioneer Europe B.V.,2024,aaff,20590,
27294189,Bredenel OG B.V.,2024,aaff,64210,
23032523,EGM Architecten B.V.,2024,aaff,71111,
22037568,Holding A. Bruijnooge B.V.,2025,aaff,64210,
51155354,De Jager Detachering B.V.,2024,aaff,78201,
56889739,FixedToday Holding B.V.,2024,aaff,70102,
88518353,Jij & Ik Support B.V.,2024,aaff,87201,
34211215,Nagel Holding B.V.,2024,aaff,64210,
54423635,TIG B.V.,2024,aaff,64210,
76404803,XXL Nutrition B.V.,2023,aaff RA,47279,
09086053,J. Koopmans Holding B.V.,2024,aaff,64210,
22025360,Adri en Zoon Schaal- en Schelpdierenhandel B.V.,2024,aaff,46322,
82079803,Plant World B.V.,2023,aaff,64923,
08068951,Prins Bouw B.V.,2024,aaff,41000,
72014679,Stichting Wij.land,2024,aaff,94993,
51121883,van der Schriek-van Meel V.O.F.,2024,aaff,01411,
88414248,T.I.G. Zorg B.V.,2024,aaff,86942,
66385180,Huize Vinkenbroek B.V.,2024,aaff,87991,
61342475,Binnenste Buiten,2024,aaff,88103,
77812042,Zorgboerderij en Schapenhouderij De Groote B.V.,2024,aaff,01451,
24415577,Dental Esthetic Pure B.V.,2024,aaff,86230,
33301311,Stichting Japan Festival,2024,aaff,90392,
08164479,Zorgboerderij De Schurinkshoeve,2024,aaff,88102,
62989227,Friesland Begeleid Wonen B.V.,2024,aaff,87992,
23040986,Consolidated Nederland B.V.,2024,aaff,43410,
24321405,V.O.F. A.D. Mourik-van der Stok,2024,aaff,01411,
22064470,Bouwgroep Schrijver B.V.,2024,aaff RA,64210,
27230471,Van der Ende Pompen B.V.,2024,aaff,46643,
01059469,SMST Designers & Constructors B.V.,2024,aaff,28220,
58473297,Ploonk Services B.V.,2024,aaff,62200,
88490785,Dente32 B.V.,2024,aaff,86230,
17105418,Bouwbedrijf Peter Peters B.V.,2024,aaff,41000,
08174358,Zorgboerderij de Pieperhoeve V.O.F.,2024,aaff,88103,
30065961,De Rooij Transport B.V.,2024,aaff,49410,
50375970,Van Marle Vastgoed B.V.,2024,aaff,64210,
90110900,MAROPE op Landgoed Zelle,2024,aaff,87201,
77117360,bijBram Behandeling B.V.,2024,aaff,88103,
20007520,Luijtgaarden Beheer B.V.,2024,aaff RA,70102,
17259526,DNM Holding B.V.,2024,aaff RA,64310,
05081811,HEBO Maritiemservice B.V.,2024,aaff,50403,
34246510,Mean Well Europe N.V.,2024,aaff,46643,
30171302,Breewel Exploitatiemaatschappij,2024,aaff,66191,
27237606,Yielder IT & Communication Solutions West B.V.,2023,aaff,62200,
23083344,Tuinbouw Technisch Atelier (TTA) B.V.,2024,aaff,71120,
36032295,J.C. Braas Beheer B.V.,2024,aaff,64210,
76567397,Van Son & Koot B.V.,2024,aaff,01303,
24240690,Laspartners Multiweld B.V.,2024,aaff,46620,
23059456,International Plywood B.V.,2024,aaff,46831,
14116042,Ingelshof,2024,aaff,01500,
11025951,Helmond Metalen,2024,aaff,49410,
69612080,Marine People B.V.,2024,aaff,64210,
17124910,SB Groep B.V.,2023,aaff RA,64210,
30240783,Technolife B.V.,2023,aaff,70102,
17195956,Hollanddak Groep B.V.,2024,aaff RA,64210,
69029989,Zorgboerderij de Voorwayde,2023,aaff,88103,
67517099,Kreijne Automotive B.V.,2024,aaff,64210,
88490785,Dente32 B.V.,2025,aaff,86230,
17150682,Goudsmit Magnetics Groep B.V.,2024,aaff,64210,
18046880,Solines Group B.V.,2024,aaff,68110,
09094180,Industrie- en Handelmaatschappij De Bron B.V.,2024,aaff,46218,
17156496,Kuijpers Beveiligingssystemen B.V.,2025,aaff,43212,
83289682,Bzzzonder Kindercentrum Oost B.V.,2025,aaff,88910,
95153594,De Waal Holding B.V.,2025,aaff,64210,
53631897,Praktijk voor Seksuologie/Advies en hulp B.V.,2025,aaff,86930,
75341441,BioLegend Europe B.V.,2024,aaff,46461,
62538802,Tandartsenpraktijk DentWork,2025,aaff,86230,
17173282,Kuijpers Service B.V.,2025,aaff,43212,
14040129,Samco Aircraft Maintenance,2025,aaff,33160,
01120918,Stichting Vrienden van Alliade,2025,aaff,88999,
82928398,Het Ambacht Ruinerwold,2025,aaff,88103,
61020532,Kwekerij De Bosrand B.V.,2024,aaff,47761,
60669535,Dahlia Kracht B.V.,2025,aaff,86942,
60102810,Solid Holding B.V.,2024,aaff,64210,
32170285,Farmel Dairy Products B.V.,2024,aaff,46331,
27177197,N.V. Haagse Milieu Services (NVHMS),2025,aaff,38110,
32082085,ITAB Holding B.V.,2024,aaff RA,64210,
55177395,SMA Group B.V.,2024,aaff,28990,
32130725,Movacolor Holding B.V.,2025,aaff,64210,
11051939,DPH Holding B.V.,2024,aaff,64210,
27255223,Gebr. Voskamp Onroerend Goed B.V.,2024,aaff,68110,
11022178,Van den Haak B.V.,2024,aaff,49410,
50771094,Stichting C.,2025,aaff,90391,
55271928,Grainway Real Estate B.V.,2025,aaff,68320,
21008216,TMS Terneuzen B.V.,2024,aaff,25110,
11047341,FixedToday B.V.,2024,aaff,78201,
30171302,Breewel Exploitatiemaatschappij,2025,aaff,66191,
98800922,RB+ Fire Solutions Holding B.V.,2025,aaff,70102,
10023736,Conpax Beheer B.V.,2025,aaff,70201,
20077406,TMS Industrial Services Nederland B.V.,2023,aaff,25110,
11022482,De Waal Autogroep B.V.,2024,aaff,47810,
