kvk,naam,boekjaar,accountant,sbi,plaats
22051386,2O Holding B.V.,2021,Baker Tilly Netherlands,64210,
22051386,2O Holding B.V.,2022,Baker Tilly Netherlands,64210,
78155622,360 Experience Group B.V.,2020,Baker Tilly (Netherlands),64210,
78155622,360 Experience Group B.V.,2021,Baker Tilly Netherlands,64210,
78155622,360 Experience Group B.V.,2021,Baker Tilly,64210,
78155622,360 Experience Group B.V.,2022,Baker Tilly Netherlands,64210,
78155622,360 Experience Group B.V.,2023,Baker Tilly Netherlands,64210,
78155622,360 Experience Group B.V.,2024,Baker Tilly Netherlands,64210,
30268615,3B Holding B.V.,2021,Baker Tilly Netherlands,66300,
30268615,3B Holding B.V.,2022,Baker Tilly Netherlands,66300,
30268615,3B Holding B.V.,2023,Baker Tilly Netherlands,66300,
27212938,3B-Wonen,2022,Baker Tilly Netherlands,68201,
27212938,3B-Wonen,2023,Baker Tilly Netherlands,68201,
27212938,3B-Wonen,2024,Baker Tilly Netherlands,68201,
34351166,3W Power Holdings B.V.,2022,Baker Tilly,64210,
34351166,3W Power Holdings B.V.,2023,Baker Tilly,64210,
31009627,Aako B.V.,2020,Baker Tilly,46851,
31009627,Aako B.V.,2021,Baker Tilly (Netherlands),46851,
31009627,Aako B.V.,2022,Baker Tilly Netherlands,46851,
31009627,Aako B.V.,2023,Baker Tilly Netherlands,46851,
31009627,Aako B.V.,2024,Baker Tilly Netherlands,46851,
20051827,Aan de Stegge Roosendaal B.V.,2023,Baker Tilly Netherlands,41000,
20051827,Aan de Stegge Roosendaal B.V.,2024,Baker Tilly Netherlands,41000,
38021054,Aan de Stegge Verenigde Bedrijven B.V.,2020,Baker Tilly (Netherlands),70102,
38021054,Aan de Stegge Verenigde Bedrijven B.V.,2020,Baker Tilly,70102,
38021054,Aan de Stegge Verenigde Bedrijven B.V.,2021,Baker Tilly,70102,
38021054,Aan de Stegge Verenigde Bedrijven B.V.,2022,Baker Tilly (Netherlands),70102,
38021054,Aan de Stegge Verenigde Bedrijven B.V.,2023,Baker Tilly (Netherlands),70102,
38021054,Aan de Stegge Verenigde Bedrijven B.V.,2024,Baker Tilly Netherlands,70102,
18032137,Aannemersbedrijf J.A. van Gisbergen B.V.,2020,Baker Tilly Netherland,41000,
18032137,Aannemersbedrijf J.A. van Gisbergen B.V.,2021,Baker Tilly Netherlands,41000,
18032137,Aannemersbedrijf J.A. van Gisbergen B.V.,2024,Baker Tilly (Netherlands),41000,
22025581,Aannemingsbedrijf Fraanje B.V.,2020,Baker Tilly (Netherlands),41000,
22025581,Aannemingsbedrijf Fraanje B.V.,2022,Baker Tilly Netherlands,41000,
22025581,Aannemingsbedrijf Fraanje B.V.,2023,Baker Tilly (Netherlands),41000,
22025581,Aannemingsbedrijf Fraanje B.V.,2024,Baker Tilly Netherlands,41000,
76076946,Aarts Packaging Beheer B.V.,2020,Baker Tilly (Netherlands),6420,
76076946,Aarts Packaging Beheer B.V.,2022,Baker Tilly Netherlands,6420,
68636628,AC Media Connect B.V.,2021,Baker Tilly,64210,
68636628,AC Media Connect B.V.,2023,Baker Tilly,64210,
73376388,ACE Compounding B.V.,2024,Baker Tilly Netherlands,82990,
81138253,ACE Pharma Group B.V.,2021,Baker Tilly,70202,
81138253,ACE Pharma Group B.V.,2022,Baker Tilly Netherlands,70202,
81138253,ACE Pharma Group B.V.,2023,Baker Tilly Netherlands,70202,
81138253,ACE Pharma Group B.V.,2024,Baker Tilly Netherlands,70202,
81138253,ACE Pharma Group B.V.,2025,Baker Tilly Netherlands,70202,
39061666,ACE Pharmaceuticals B.V.,2022,Baker Tilly (Netherlands),21200,
39061666,ACE Pharmaceuticals B.V.,2023,Baker Tilly Netherlands,21200,
39061666,ACE Pharmaceuticals B.V.,2024,Baker Tilly Netherlands,21200,
61382744,Achter de blauwe deur,2022,Baker Tilly,86950,
67477801,Acunmedya Holding B.V.,2022,Baker Tilly Netherlands,59111,
67477801,Acunmedya Holding B.V.,2023,Baker Tilly Gureli,59111,
73749079,Acunmedya Netherlands TV & Production B.V.,2023,Baker Tilly,64210,
61368512,Ad Hulst B.V.,2021,Baker Tilly Netherlands,46242,
61368512,Ad Hulst B.V.,2023,Baker Tilly Netherlands,46242,
17207313,Adamas Vught B.V.,2024,Baker Tilly Netherlands,64210,
02035754,adapa the Netherlands Leek B.V.,2022,Baker Tilly Netherlands,22220,
02035754,adapa the Netherlands Leek B.V.,2023,Baker Tilly Netherlands,22220,
02035754,adapa the Netherlands Leek B.V.,2024,Baker Tilly Netherlands,22220,
24026956,adapa the Netherlands Rotterdam B.V.,2022,Baker Tilly Netherlands,17250,
24026956,adapa the Netherlands Rotterdam B.V.,2024,Baker Tilly Netherlands,17250,
08115565,ADS Groep,2020,Baker Tilly,41000,
08115565,ADS Groep,2021,Baker Tilly (Netherlands),41000,
08115565,ADS Groep,2022,Baker Tilly Netherlands,41000,
08115565,ADS Groep,2023,Baker Tilly Netherlands,41000,
08115565,ADS Groep,2024,Baker Tilly Netherlands,41000,
27270545,AEG Power Solutions B.V.,2021,Baker Tilly Netherlands,64210,
27270545,AEG Power Solutions B.V.,2024,Baker Tilly,64210,
67811477,AES International B.V.,2021,Baker Tilly,46390,
67811477,AES International B.V.,2022,Baker Tilly Netherlands,46390,
67811477,AES International B.V.,2023,Baker Tilly Netherlands,46390,
67811477,AES International B.V.,2024,Baker Tilly Netherlands,46390,
27010967,Agfa HealthCare Netherlands B.V.,2020,Baker Tilly,46500,
84180986,Alcon Finance B.V.,2022,Baker Tilly Netherlands,64210,
84180986,Alcon Finance B.V.,2024,Baker Tilly Netherlands,64210,
23072440,Alcon Nederland B.V.,2020,Baker Tilly,46461,
23072440,Alcon Nederland B.V.,2021,Baker Tilly Netherlands,46461,
23072440,Alcon Nederland B.V.,2022,Baker Tilly Netherlands,46461,
23072440,Alcon Nederland B.V.,2024,Baker Tilly Netherlands,46461,
18037548,Alfo Groep B.V.,2020,Baker Tilly,64210,
18037548,Alfo Groep B.V.,2021,Baker Tilly Netherlands,64210,
18037548,Alfo Groep B.V.,2022,Baker Tilly Netherlands,64210,
18037548,Alfo Groep B.V.,2024,Baker Tilly Netherlands,64210,
06062343,Alkondor Beheer B.V.,2020,Baker Tilly,64320,
06062343,Alkondor Beheer B.V.,2022,Baker Tilly Berk,64320,
08198382,Alkondor Holding B.V.,2020,Baker Tilly,64210,
08198382,Alkondor Holding B.V.,2021,Baker Tilly Netherlands,64210,
08198382,Alkondor Holding B.V.,2022,Baker Tilly Netherlands,64210,
08198382,Alkondor Holding B.V.,2023,Baker Tilly Netherlands,64210,
08198382,Alkondor Holding B.V.,2024,Baker Tilly Netherlands,64210,
38023622,Altebra Sprinklertechniek B.V.,2020,Baker Tilly (Netherlands),43221,
56211775,AMC Vlissingen B.V.,2020,Baker Tilly,11070,
56211775,AMC Vlissingen B.V.,2023,Baker Tilly Netherlands,11070,
56211775,AMC Vlissingen B.V.,2025,Baker Tilly Netherlands,11070,
64552926,Ampleon Coöperatief U.A.,2020,Baker Tilly,64210,
64552926,Ampleon Coöperatief U.A.,2021,Baker Tilly (Netherlands),64210,
64552926,Ampleon Coöperatief U.A.,2021,Baker Tilly Netherlands,64210,
64552926,Ampleon Coöperatief U.A.,2022,Baker Tilly Netherlands,64210,
64552926,Ampleon Coöperatief U.A.,2023,Baker Tilly (Netherlands),64210,
64552926,Ampleon Coöperatief U.A.,2024,Baker Tilly Netherlands,64210,
64552926,Ampleon Coöperatief U.A.,2025,Baker Tilly Netherlands,64210,
68883447,Analytics Holding B.V.,2020,Baker Tilly (Netherlands),,
09144748,Andros Clinics,2025,Baker Tilly Netherlands,86221,
95489533,Andros Clinics Zorg B.V.,2025,Baker Tilly Netherlands,86103,
17086351,Apex Anilox B.V.,2020,Baker Tilly,25510,
17086351,Apex Anilox B.V.,2022,Baker Tilly Netherlands,25510,
17086351,Apex Anilox B.V.,2023,Baker Tilly Netherlands,25510,
17039194,Apex Beheer B.V.,2020,Baker Tilly,64210,
17039194,Apex Beheer B.V.,2022,Baker Tilly Netherlands,64210,
18127877,ARAS Security B.V.,2020,Baker Tilly,46645,
18127877,ARAS Security B.V.,2023,Baker Tilly Netherlands,46645,
18127877,ARAS Security B.V.,2025,Baker Tilly Netherlands,46645,
06076200,Ashworth Europe B.V.,2020,Baker Tilly,64210,
06076200,Ashworth Europe B.V.,2021,Baker Tilly,64210,
06076200,Ashworth Europe B.V.,2022,Baker Tilly Netherlands,64210,
06076200,Ashworth Europe B.V.,2025,Baker Tilly Netherlands,64210,
61142263,Aushi B.V.,2025,Baker Tilly Netherlands,64210,
16034074,"Auto Verschrotings Industrie ""A.V.I."" Den Bosch B.V.",2021,Baker Tilly Netherlands,64210,
80775500,Autogroep Ursem Barten B.V.,2024,Baker Tilly Netherlands,64210,
28029253,AV Flexologic B.V.,2024,Baker Tilly Netherlands,46649,
08061324,Avantes B.V.,2020,Baker Tilly,26510,
08061324,Avantes B.V.,2022,Baker Tilly Netherlands,26510,
08061324,Avantes B.V.,2023,Baker Tilly Netherlands,26510,
64789047,AVEM Kinderopvang B.V.,2023,Baker Tilly Netherlands,88910,
64789047,AVEM Kinderopvang B.V.,2024,Baker Tilly Netherlands,88910,
64789047,AVEM Kinderopvang B.V.,2025,Baker Tilly Netherlands,88910,
68913389,Aweta Beheer III B.V.,2021,Baker Tilly (Netherlands),64210,
84721561,Aweta Beheer IV B.V.,2022,Baker Tilly Netherlands,64210,
84721561,Aweta Beheer IV B.V.,2023,Baker Tilly (Netherlands),64210,
84721561,Aweta Beheer IV B.V.,2023,Baker Tilly Netherlands,64210,
84721561,Aweta Beheer IV B.V.,2024,Baker Tilly (Netherlands),64210,
84721561,Aweta Beheer IV B.V.,2025,Baker Tilly (Netherlands),64210,
27073114,Aweta G&P B.V.,2022,Baker Tilly (Netherlands),28300,
27073114,Aweta G&P B.V.,2023,Baker Tilly Netherlands,28300,
27073114,Aweta G&P B.V.,2024,Baker Tilly (Netherlands),28300,
27073114,Aweta G&P B.V.,2025,Baker Tilly (Netherlands),28300,
08065983,AWL-Techniek B.V.,2020,Baker Tilly (Netherlands),71120,
08065983,AWL-Techniek B.V.,2020,Baker Tilly,71120,
08065983,AWL-Techniek B.V.,2022,Baker Tilly Netherlands,71120,
08065983,AWL-Techniek B.V.,2023,Baker Tilly Netherlands,71120,
08065983,AWL-Techniek B.V.,2025,Baker Tilly Netherlands,71120,
08058711,AWL-Techniek Holding,2020,Baker Tilly,64210,
08058711,AWL-Techniek Holding,2022,Baker Tilly Netherlands,64210,
08058711,AWL-Techniek Holding,2023,Baker Tilly Netherlands,64210,
08058711,AWL-Techniek Holding,2024,Baker Tilly Netherlands,64210,
08058711,AWL-Techniek Holding,2024,Baker Tilly (Netherlands),64210,
08058711,AWL-Techniek Holding,2025,Baker Tilly (Netherlands),64210,
31022872,AWS Holding B.V.,2020,Baker Tilly,70102,
31022872,AWS Holding B.V.,2021,Baker Tilly (Netherlands),70102,
31022872,AWS Holding B.V.,2022,Baker Tilly Netherlands,70102,
31022872,AWS Holding B.V.,2023,Baker Tilly Netherlands,70102,
31022872,AWS Holding B.V.,2024,Baker Tilly Netherlands,70102,
34211632,AZEN Oil Company B.V.,2020,Baker Tilly Berk,64923,
60633239,B&F Palace Amsterdam B.V.,2022,Baker Tilly Netherlands,64320,
05028197,B.V. Leeuwbouw,2021,Baker Tilly Netherlands,46841,
17113318,B.V. Ontwikkelingsmaatschappij Paleiskwartier,2020,Baker Tilly,68120,
17113318,B.V. Ontwikkelingsmaatschappij Paleiskwartier,2023,Baker Tilly Netherlands,68120,
53743792,Baas B.V.,2021,Baker Tilly Netherlands,42220,
53743792,Baas B.V.,2022,Baker Tilly Netherlands,42220,
53743792,Baas B.V.,2023,Baker Tilly Netherlands,42220,
53743490,Baas Groep B.V.,2020,Baker Tilly,64210,
53743490,Baas Groep B.V.,2021,Baker TiIIy,64210,
53743490,Baas Groep B.V.,2022,Baker Tilly Netherlands,64210,
53743490,Baas Groep B.V.,2023,Baker Tilly Netherlands,64210,
17120393,BAS Group B.V.,2022,Baker Tilly Netherlands,64210,
16077239,BAS Lease B.V.,2021,Baker Tilly (Netherlands),77120,
16077239,BAS Lease B.V.,2022,Baker Tilly Netherlands,77120,
16021586,BAS Truck Center,2020,Baker TiIly,46710,
16021586,BAS Truck Center,2021,Baker TiIly,46710,
16021586,BAS Truck Center,2022,Baker Tilly Netherlands,46710,
16021586,BAS Truck Center,2024,Baker Tilly Netherlands,46710,
17103220,BAS World B.V.,2020,Baker Tilly Netherlands,46710,
17103220,BAS World B.V.,2020,Baker Tilly,46710,
17103220,BAS World B.V.,2021,Baker Tilly,46710,
17103220,BAS World B.V.,2022,Baker Tilly,46710,
17103220,BAS World B.V.,2022,Baker Tilly Netherlands,46710,
17103220,BAS World B.V.,2023,Baker Tilly (Netherlands),46710,
17103220,BAS World B.V.,2024,Baker Tilly,46710,
18114807,Bazalt Wonen,2020,Baker Tilly Netherlands,68201,
18114807,Bazalt Wonen,2021,Baker Tilly (Netherlands),68201,
17129358,BDO Holding B.V.,2024,Baker Tilly Netherlands,64210,
17129358,BDO Holding B.V.,2025,Baker Tilly Netherlands,64210,
65282973,Beacon Terminals B.V.,2023,Baker Tilly Netherlands,64210,
38009608,Beaphar Beheer B.V.,2024,Baker Tilly Netherlands,64210,
