kvk,naam,boekjaar,accountant,sbi,plaats
27117235,"""O.O.M."" Onderlinge Molestverzekering-Maatschappij U.A.",2020,BDO,65121,
27117235,"""O.O.M."" Onderlinge Molestverzekering-Maatschappij U.A.",2021,BDO,65121,
27117235,"""O.O.M."" Onderlinge Molestverzekering-Maatschappij U.A.",2023,BDO,65121,
27117235,"""O.O.M."" Onderlinge Molestverzekering-Maatschappij U.A.",2024,BDO,65121,
27175208,"""Stichting Aanvullingsfonds voor het Slagersbedrijf I"" (Sas I)",2020,BDO,94993,
41055319,"""Stichting LuciVer"", stichting voor welzijn, wonen en zorg.",2019,BDO,,
41055319,"""Stichting LuciVer"", stichting voor welzijn, wonen en zorg.",2021,BDO,,
41055319,"""Stichting LuciVer"", stichting voor welzijn, wonen en zorg.",2022,BDO,,
41055319,"""Stichting LuciVer"", stichting voor welzijn, wonen en zorg.",2023,BDO,,
41055319,"""Stichting LuciVer"", stichting voor welzijn, wonen en zorg.",2024,BDO,,
20131005,'t Hoogsael B.V.,2017,BDO,70221,
20131005,'t Hoogsael B.V.,2018,BDO,70201,
20131005,'t Hoogsael B.V.,2019,BDO,70201,
20131005,'t Hoogsael B.V.,2020,BDO,70201,
20131005,'t Hoogsael B.V.,2023,BDO,70201,
20131005,'t Hoogsael B.V.,2024,BDO,70201,
51768666,1888 Coöperatief U.A.,2022,BDO,94997,
51768666,1888 Coöperatief U.A.,2023,BDO,94997,
09163645,247TailorSteel B.V.,2019,BDO,24200,
09163645,247TailorSteel B.V.,2020,BDO,24200,
09163645,247TailorSteel B.V.,2021,BDO,24200,
09109448,2ADvance B.V.,2018,BDO,64210,
09109448,2ADvance B.V.,2019,BDO,64210,
53623673,2Live,2019,BDO,88999,
53623673,2Live,2020,BDO,88999,
53623673,2Live,2021,BDO,88999,
53623673,2Live,2022,BDO,88999,
53623673,2Live,2024,BDO,88999,
50321609,2theloo holding B.V.,2017,BDO,70102,
50321609,2theloo holding B.V.,2018,BDO,70102,
50321609,2theloo holding B.V.,2019,BDO,70102,
50321609,2theloo holding B.V.,2020,BDO,70102,
50321609,2theloo holding B.V.,2022,BDO,70102,
50321609,2theloo holding B.V.,2023,BDO,70102,
50321609,2theloo holding B.V.,2024,BDO,70102,
27212938,3B-Wonen,2018,BDO,68201,
63957590,75 dB B.V.,2018,BDO,64210,
63957590,75 dB B.V.,2019,BDO,64210,
63957590,75 dB B.V.,2020,BDO,64210,
34237387,76dB B.V.,2018,BDO,64210,
34237387,76dB B.V.,2020,BDO,64210,
75451778,9altitudes,2022,BDO,64210,
75451778,9altitudes,2023,BDO,64210,
75451778,9altitudes,2024,BDO,64210,
30255117,A-Lanes A15 B.V.,2022,BDO,42110,
51225085,A-Lanes A15 Holding B.V.,2021,BDO,64210,
