kvk,naam,boekjaar,accountant
58810870,allGreen Group B.V.,2022,Confinant
58810870,allGreen Group B.V.,2023,Confinant
58810870,allGreen Group B.V.,2024,Confinant
58810870,allGreen Group B.V.,2025,Confinant
24120312,Aluminium & Chemie Rotterdam B.V.,2022,Confinant
34311419,Bally Gaming Netherlands II B.V.,2021,Confinant
34311419,Bally Gaming Netherlands II B.V.,2022,Confinant
36053798,Bataleon Snowboards,2023,Confinant
36053798,Bataleon Snowboards,2025,Confinant
70475830,BDSF B.V.,2022,Confinant
72822872,Crown LiquidationCo N.V. in liquidatie,2020,Confinant Audit
72822872,Crown LiquidationCo N.V. in liquidatie,2021,Confinant
58293310,Derec B.V.,2022,Confinant
58293310,Derec B.V.,2023,Confinant
58293310,Derec B.V.,2024,Confinant
61333999,EclecticIQ B.V.,2020,Confinant
61333999,EclecticIQ B.V.,2022,Confinant
61333999,EclecticIQ B.V.,2023,Confinant
78220440,Equigy,2021,Confinant
58986502,Europe Watch Group B.V.,2022,Confinant
58986502,Europe Watch Group B.V.,2023,Confinant
58986502,Europe Watch Group B.V.,2024,Confinant
32050658,Foruminvest Groep,2023,Confinant
59182679,GeoPhy B.V.,2020,Confinant Audit & Assurance
74261762,HGIT ABC Westland 200 Poeldijk Coöperatief U.A.,2023,Confinant
57883424,Hubs,2022,Confinant
57883424,Hubs,2023,Confinant
57883424,Hubs,2024,Confinant
27187964,Inmarsat Solutions B.V.,2021,Confinant
27187964,Inmarsat Solutions B.V.,2023,Confinant
34052453,Intergraph Benelux B.V.,2023,Confinant
55144837,Netherlands E-commerce Group B.V.,2022,Confinant
55144837,Netherlands E-commerce Group B.V.,2023,Confinant
55144837,Netherlands E-commerce Group B.V.,2024,Confinant
75527782,Next Generation Capital Group B.V.,2021,Confinant
75527782,Next Generation Capital Group B.V.,2022,Confinant
75527782,Next Generation Capital Group B.V.,2023,Confinant
62712616,Nxchange B.V.,2020,Confinant
68669119,Olympic Hotel Vastgoed B.V.,2024,Confinant
51190486,OnLogic,2024,Confinant
90030338,OnLogic International B.V.,2024,Confinant
77340159,OpenUp B.V.,2023,Confinant
76833518,OpenUp Group B.V.,2023,Confinant
76833518,OpenUp Group B.V.,2024,Confinant
58811001,ParkBee B.V.,2024,Confinant
58811001,ParkBee B.V.,2025,Confinant
69945640,Sansidor Group,2019,Confinant
50174932,SIIC Netherlands B.V.,2020,Confinant
50174932,SIIC Netherlands B.V.,2021,Confinant
50174932,SIIC Netherlands B.V.,2022,Confinant
24328679,"Stichting Internationale Steun Rechtstreeks AanArmen, bij verkorting genaamd: Stichting ISRAA in liquidatie",2019,Confinant
24002281,Stichting Juridisch Eigenaar RPC,2020,Confinant
24002281,Stichting Juridisch Eigenaar RPC,2021,Confinant
24002281,Stichting Juridisch Eigenaar RPC,2022,Confinant
24002281,Stichting Juridisch Eigenaar RPC,2023,Confinant
24002281,Stichting Juridisch Eigenaar RPC,2024,Confinant
66738849,Survitec Safety Solutions Netherlands B.V.,2023,Confinant
66738849,Survitec Safety Solutions Netherlands B.V.,2024,Confinant
63682281,Temper B.V.,2021,Confinant
63682281,Temper B.V.,2022,Confinant
63682281,Temper B.V.,2023,Confinant
86609882,Temper Technologies B.V.,2022,Confinant
86609882,Temper Technologies B.V.,2023,Confinant
66551102,Winthrop Technologies Netherlands N.V.,2023,Confinant
66551102,Winthrop Technologies Netherlands N.V.,2024,Confinant
