kvk,naam,boekjaar,accountant,sbi,plaats
63831538,4blue,2021,Crowe Foederer,46838,
63831538,4blue,2022,Crowe Foederer,46838,
63831538,4blue,2023,Crowe Foederer,46838,
32088639,999 Games B.V.,2022,Crowe Foederer,46494,
24290133,A.W. Veth Beheer B.V.,2019,Crowe Peak,64210,
24290133,A.W. Veth Beheer B.V.,2020,Crowe Peak,64210,
24290133,A.W. Veth Beheer B.V.,2022,Crowe Peak,64210,
24290133,A.W. Veth Beheer B.V.,2023,Crowe Peak,64210,
24290133,A.W. Veth Beheer B.V.,2024,Crowe Peak,64210,
63363739,AA Holding B.V.,2020,Crowe Peak,43420,
17054423,Aannemersbedrijf H. van Rijswijck B.V.,2019,Crowe Foederer,41000,
17054423,Aannemersbedrijf H. van Rijswijck B.V.,2020,Crowe Foederer,41000,
17054423,Aannemersbedrijf H. van Rijswijck B.V.,2022,Crowe Foederer,41000,
63265583,ABB Growers B.V.,2020,Crowe Foederer,46311,
63265583,ABB Growers B.V.,2021,Crowe Foederer,46311,
60020644,ABB Invest B.V.,2019,Crowe Foederer,64210,
60020644,ABB Invest B.V.,2020,Crowe Foederer,64210,
22058651,Access World Customs B.V.,2022,Crowe Peak,52102,
22058651,Access World Customs B.V.,2023,Crowe Peak,52102,
22058651,Access World Customs B.V.,2024,Crowe Peak,52102,
22037630,Access World Netherlands B.V.,2022,Crowe Peak,52241,
22037630,Access World Netherlands B.V.,2023,Crowe Peak,52241,
22037630,Access World Netherlands B.V.,2024,Crowe Peak,52241,
37126757,ACN OG B.V.,2020,Crowe Foederer,64210,
37126757,ACN OG B.V.,2021,Crowe Foederer,64210,
37126757,ACN OG B.V.,2023,Crowe Foederer,64210,
37126757,ACN OG B.V.,2024,Crowe Foederer,64210,
83080538,ADACTA Coöperatief U.A.,2024,Crowe Peak,64210,
17204622,Addplast Beheer B.V.,2019,Crowe Foederer,66120,
17204622,Addplast Beheer B.V.,2020,Crowe Foederer,66120,
17204622,Addplast Beheer B.V.,2021,Crowe Foederer,66120,
17204622,Addplast Beheer B.V.,2022,Crowe Foederer,66120,
17204622,Addplast Beheer B.V.,2023,Crowe Foederer,66120,
20094499,AddSecure FleetVisor Holdings B.V.,2021,Crowe Foederer,64210,
20094499,AddSecure FleetVisor Holdings B.V.,2022,Crowe Foederer,64210,
20094499,AddSecure FleetVisor Holdings B.V.,2023,crowe Foederer,64210,
17112991,Adevadi B.V.,2019,Crowe Foederer,64210,
17112991,Adevadi B.V.,2020,Crowe Foederer,64210,
34042313,Adomex International B.V.,2019,Crowe Foederer,46220,
34042313,Adomex International B.V.,2020,Crowe Foederer,46220,
34042313,Adomex International B.V.,2021,Crowe Foederer,46220,
34042313,Adomex International B.V.,2022,Crowe Foederer,46220,
34042313,Adomex International B.V.,2023,Crowe Foederer,46220,
34042313,Adomex International B.V.,2024,Crowe Foederer,46220,
29024823,Adriaan van Erk Bouw B.V.,2022,Crowe Peak,41000,
29042340,Adriaan van Erk Ontwikkeling B.V.,2023,Crowe Peak,68120,
09148874,Aesy Liften B.V.,2019,Crowe Peak Audit,33121,
09148874,Aesy Liften B.V.,2020,Crowe Peak,33121,
09148874,Aesy Liften B.V.,2022,Crowe Peak,33121,
18076913,Agristo B.V.,2019,Crowe Foederer,10310,
18076913,Agristo B.V.,2020,Crowe Foederer,10310,
18076913,Agristo B.V.,2021,Crowe Foederer,10310,
18076913,Agristo B.V.,2022,Crowe Foederer,10310,
18076913,Agristo B.V.,2023,Crowe Foederer,10310,
18076913,Agristo B.V.,2024,Crowe Foederer,10310,
93677944,Albus Lignum B.V.,2024,Crowe Foederer,64210,
93677944,Albus Lignum B.V.,2025,Crowe Foederer,64210,
40412801,Algemene Hindoeschool,2024,Crowe Foederer,85201,
37142790,Alkmaar Centrum,2019,Crowe Peak,91111,
