kvk,naam,boekjaar,accountant,sbi,plaats
06046985,"""Aqua +"" Beheer B.V.",2020,Eshuis,64210,
06046985,"""Aqua +"" Beheer B.V.",2021,Eshuis,64210,
06046985,"""Aqua +"" Beheer B.V.",2022,Eshuis,64210,
06046985,"""Aqua +"" Beheer B.V.",2023,Eshuis,64210,
06046985,"""Aqua +"" Beheer B.V.",2024,Eshuis,64210,
06046985,"""Aqua +"" Beheer B.V.",2025,Eshuis,64210,
66112850,4D Invest & Management B.V.,2024,Eshuis,64210,
08095707,4People Beheer B.V.,2023,Eshuis,,
88545687,4People International B.V.,2023,Eshuis,78100,
06070151,A & J Small B.V.,2017,Eshuis,6420,
06070151,A & J Small B.V.,2018,Eshuis,64210,
06070151,A & J Small B.V.,2019,Eshuis,64210,
06070151,A & J Small B.V.,2020,Eshuis,64210,
06070151,A & J Small B.V.,2021,Eshuis,64210,
06070151,A & J Small B.V.,2022,Eshuis,64210,
06070151,A & J Small B.V.,2023,Eshuis,64210,
06039265,A.J.M. aan de Stegge Holding B.V.,2017,Eshuis,6420,
06039265,A.J.M. aan de Stegge Holding B.V.,2018,Eshuis,64210,
06039265,A.J.M. aan de Stegge Holding B.V.,2019,Eshuis,64210,
06039265,A.J.M. aan de Stegge Holding B.V.,2024,Eshuis,64210,
30224445,A1 Electronics Netherlands B.V.,2022,Eshuis,26110,
06060277,Aan de Stegge Presolid Home B.V.,2018,Eshuis,41000,
06060277,Aan de Stegge Presolid Home B.V.,2019,Eshuis,41000,
06060277,Aan de Stegge Presolid Home B.V.,2021,Eshuis,41000,
06060277,Aan de Stegge Presolid Home B.V.,2025,Eshuis,41000,
08052259,Aannemersbedrijf Kormelink,2020,Eshuis,41000,
08052259,Aannemersbedrijf Kormelink,2021,Eshuis,41000,
08052259,Aannemersbedrijf Kormelink,2022,Eshuis,41000,
08052259,Aannemersbedrijf Kormelink,2023,Eshuis,41000,
08052259,Aannemersbedrijf Kormelink,2024,Eshuis,41000,
08052259,Aannemersbedrijf Kormelink,2025,Eshuis,41000,
06049807,Aannemersbedrijf Niehof,2020,Eshuis,41000,
06049807,Aannemersbedrijf Niehof,2021,Eshuis,41000,
06049807,Aannemersbedrijf Niehof,2024,Eshuis,41000,
06057458,Aannemingsbedrijf E.G.J. Steggink B.V.,2022,Eshuis,41000,
06057458,Aannemingsbedrijf E.G.J. Steggink B.V.,2023,Eshuis,41000,
06057458,Aannemingsbedrijf E.G.J. Steggink B.V.,2024,Eshuis,41000,
08098853,Aannemingsmaatschappij Hegeman B.V.,2021,Eshuis,41000,
08098853,Aannemingsmaatschappij Hegeman B.V.,2024,Eshuis,41000,
06041811,Aannemingsmaatschappij Twentse Weg- en Waterbouw B.V.,2017,Eshuis,42111,
06041811,Aannemingsmaatschappij Twentse Weg- en Waterbouw B.V.,2018,Eshuis,42110,
06041811,Aannemingsmaatschappij Twentse Weg- en Waterbouw B.V.,2020,Eshuis,42110,
06041811,Aannemingsmaatschappij Twentse Weg- en Waterbouw B.V.,2022,Eshuis,42110,
06041811,Aannemingsmaatschappij Twentse Weg- en Waterbouw B.V.,2023,Eshuis,42110,
06041811,Aannemingsmaatschappij Twentse Weg- en Waterbouw B.V.,2024,Eshuis,42110,
75397595,Accres Apeldoorn B.V.,2023,Eshuis,93119,
75397595,Accres Apeldoorn B.V.,2024,Eshuis,93119,
08173845,ACT Group B.V.,2017,Eshuis,6420,
08173845,ACT Group B.V.,2018,Eshuis,64210,
08173845,ACT Group B.V.,2019,Eshuis,64210,
08173845,ACT Group B.V.,2020,Eshuis,64210,
54421470,ADDIA - Psychologenpraktijk,2022,Eshuis,,
08147765,AGAR Holding B.V.,2017,Eshuis,6420,
08147765,AGAR Holding B.V.,2018,Eshuis,64210,
08147765,AGAR Holding B.V.,2019,Eshuis,64210,
08147765,AGAR Holding B.V.,2020,Eshuis,64210,
08147765,AGAR Holding B.V.,2021,Eshuis,64210,
08147765,AGAR Holding B.V.,2022,Eshuis,64210,
08147765,AGAR Holding B.V.,2023,Eshuis,64210,
08147765,AGAR Holding B.V.,2024,Eshuis,64210,
08147765,AGAR Holding B.V.,2025,Eshuis,64210,
08090055,Alka Holding B.V.,2017,Eshuis,6420,
08090055,Alka Holding B.V.,2018,Eshuis,6420,
08090055,Alka Holding B.V.,2019,Eshuis,64210,
08090055,Alka Holding B.V.,2020,Eshuis,64210,
08090055,Alka Holding B.V.,2021,Eshuis,64210,
08090055,Alka Holding B.V.,2022,Eshuis,64210,
08090055,Alka Holding B.V.,2024,Eshuis,64210,
30100766,Allspan Holding B.V.,2020,Eshuis,46831,
05055648,Ambulance IJsselland B.V.,2022,Eshuis,86920,
05055648,Ambulance IJsselland B.V.,2023,Eshuis,86920,
05055648,Ambulance IJsselland B.V.,2024,Eshuis,86920,
27127464,apetito B.V.,2018,Eshuis,46390,
27127464,apetito B.V.,2019,Eshuis,46390,
06050125,Aqua+ Sprinklersystemen,2020,Eshuis,43212,
06050125,Aqua+ Sprinklersystemen,2021,Eshuis,43212,
06050125,Aqua+ Sprinklersystemen,2022,Eshuis,43212,
06050125,Aqua+ Sprinklersystemen,2023,Eshuis,43212,
06050125,Aqua+ Sprinklersystemen,2024,Eshuis,43212,
91422345,Arendios B.V.,2024,Eshuis,64210,
10029188,ARN B.V.,2023,Eshuis,38220,
10029188,ARN B.V.,2024,Eshuis,38220,
08096069,Autogroep Twente B.V.,2022,Eshuis,64210,
08096069,Autogroep Twente B.V.,2024,Eshuis,64210,
08094000,Autolease Twente B.V.,2020,Eshuis,77112,
08094000,Autolease Twente B.V.,2021,Eshuis,77112,
08094000,Autolease Twente B.V.,2022,Eshuis,77112,
08094000,Autolease Twente B.V.,2023,Eshuis,77112,
08094000,Autolease Twente B.V.,2024,Eshuis,77112,
86847058,Avinty Group Holding B.V.,2023,Eshuis,6420,
65960114,Avinty Holding B.V.,2018,Eshuis,6420,
65960114,Avinty Holding B.V.,2019,Eshuis,6420,
65960114,Avinty Holding B.V.,2020,Eshuis,6420,
65960114,Avinty Holding B.V.,2021,Eshuis,6420,
65960114,Avinty Holding B.V.,2022,Eshuis,6420,
08090889,Axero,2020,Eshuis,46710,
08090889,Axero,2021,Eshuis,46710,
08090889,Axero,2022,Eshuis,46710,
70194459,Axero Groep B.V.,2020,Eshuis,64210,
70194459,Axero Groep B.V.,2021,Eshuis,64210,
70194459,Axero Groep B.V.,2022,Eshuis,64210,
06064273,B.H. Nieuwe Weme Beheer B.V.,2019,Eshuis,64210,
06064273,B.H. Nieuwe Weme Beheer B.V.,2020,Eshuis,64210,
06064273,B.H. Nieuwe Weme Beheer B.V.,2021,Eshuis,64210,
06078969,Beefmaster Beheer B.V.,2019,Eshuis,68320,
06078969,Beefmaster Beheer B.V.,2021,Eshuis,68320,
06078969,Beefmaster Beheer B.V.,2022,Eshuis,68320,
06078969,Beefmaster Beheer B.V.,2023,Eshuis,68320,
87439522,BeeXact Holding B.V.,2024,Eshuis,64210,
87439522,BeeXact Holding B.V.,2025,Eshuis,64210,
06019299,Beheermaatschappij Installatiebedrijf G. van Dam B.V.,2018,Eshuis,68204,
08085743,Beheermaatschappij R.H.J. Leus B.V.,2021,Eshuis,64210,
78338840,Beheermaatschappij Wijlens B.V.,2021,Eshuis,64210,
78338840,Beheermaatschappij Wijlens B.V.,2022,Eshuis,64210,
77363140,Bejasa Holding B.V.,2020,Eshuis,64210,
08050235,Berkin B.V.,2024,Eshuis,64210,
67408478,Besakon B.V.,2018,Eshuis,6420,
67408478,Besakon B.V.,2019,Eshuis,6420,
40062706,Bestuurscentrum Chrono,2020,Eshuis,85201,
04081137,Beter Thuis Wonen Verpleging en Verzorging B.V.,2024,Eshuis,86942,
04081137,Beter Thuis Wonen Verpleging en Verzorging B.V.,2025,Eshuis,86942,
06037864,Betoncentrale Twenthe B.V.,2021,Eshuis,23630,
09094528,Beumer Group Benelux B.V.,2022,Eshuis,46140,
50067915,BGTV Holding B.V.,2023,Eshuis,64210,
61025321,Bibliotheek Franeker,2022,Eshuis,91111,
61025321,Bibliotheek Franeker,2023,Eshuis,91111,
61025321,Bibliotheek Franeker,2025,Eshuis,91111,
01102177,Bibliotheek Leeuwarden Centrum,2022,Eshuis,91111,
