kvk,naam,boekjaar,accountant,sbi,plaats
09093858,Goed Goan Beheer B.V.,2016,ETL,6420,
09061960,Delipain B.V.,2016,ETL Accountants,6420,
01181122,Gemeente Vlieland,2024,ETL,84110,
82617651,Labana B.V.,2021,ETL Dales,64210,
81489072,Woon- en Zorgvoorziening Villa De Bouwkamp,2022,ETL Dales,,
37159666,Gemeente Heiloo,2023,ETL,84110,
63503387,Zoho Corporation B.V.,2025,ETL,62200,
24336093,KANDT Aannemings- en Funderingsbedrijf B.V.,2023,ETL Assurance & Overheidsaccountants,41000,
09044155,Bakkerij W. Wiltink B.V.,2017,ETL,1071,
64809943,Takkenkamp Isolatie Holding B.V.,2016,ETL Accountants,6420,
33261936,Sasol Holding (Netherlands) B.V.,2016,ETL,64301,
64808726,Takkenkamp Groep B.V.,2016,ETL,6420,
41154398,Stichting Opleidings- en Ontwikkelingsfonds voor de Goud- en Zilvernijverheid,2017,ETL,9411,
62305824,Kiremko Group B.V.,2016,ETL,6420,
09072453,Gesink Zelhem Holding B.V.,2017,ETL,6420,
09062559,Transportbedrijf Gesink B.V.,2017,//ETL,4941,
27188444,Financial Performance Holdings B.V.,2015,ETL,6420,
09179857,I Care B.V.,2017,ETL,86922,
09181206,Pfeifer Heavy Machinery B.V.,2016,ETL Accountants,4663,
34109466,Yukos International UK B.V.,2015,ETL,6420,
30087348,Kiremko B.V.,2017,ETL,2893,
51458373,Stichting ZAHET,2016,ETL Dales,86929,
09093858,Goed Goan Beheer B.V.,2017,ETL,6420,
51458373,Stichting ZAHET,2017,ETL,86929,
09045592,Neptunus Teunissen Holding B.V.,2017,ETL,6420,
30195065,P.J. Oosterlaken Holding B.V.,2017,ETL,66191,
30087348,Kiremko B.V.,2016,ETL,2893,
41238248,Bibliotheek Heiloo,2022,ETL,91111,
37142790,Alkmaar Centrum,2024,ETL,91111,
32122502,Collina Holding B.V.,2023,ETL,64210,
34359094,Crane Worldwide Logistics B.V.,2023,ETL,52250,
69068917,Top Groep Training & Begeleiding B.V.,2024,ETL Jansen,85591,
37158509,Gemeente Castricum,2023,ETL,84110,
37159104,Gemeente Texel,2023,ETL,84110,
29048843,Texo Trade Services B.V.,2023,ETL,46862,
41223080,Stichting Goois Natuurreservaat,2022,ETL,91420,
41223080,Stichting Goois Natuurreservaat,2023,ETL,91420,
41223080,Stichting Goois Natuurreservaat,2024,ETL,91420,
61920541,DJI Europe B.V.,2023,ETL,52250,
37138227,F.M.W.B. Beheer B.V.,2024,ETL,64210,
85831204,Digno Valora Zorggroep B.V.,2022,ETL Halberg,87201,
34359323,Beheerkantoor/bezoekerscentrum Groengebied Amstelland,2024,ETL,81302,
30230123,Onestopsourcing B.V.,2023,ETL,78100,
75236516,Boekestijn Transport Holding B.V.,2024,ETL,64210,
70857016,FGN,2025,ETL,66191,
34041031,International Precision Products B.V.,2025,ETL,46644,
37158864,Beheerkantoor/bezoekerscentrum Recreatieschap Geestmerambacht,2025,ETL,81302,
09065419,Saba Dinxperlo B.V.,2015,ETL,7740,
37162492,Zero Motorcycles,2023,ETL,46730,
81723067,R&M Europe B.V.,2023,ETL,46620,
37159666,Gemeente Heiloo,2024,ETL,84110,
09220177,HEEMZORG,2022,ETL Dales,87302,
09220177,HEEMZORG,2024,ETL Dales,87302,
67675808,Werkorganisatie BUCH,2022,ETL,84121,
41193822,Stichting Steun Goois Natuurreservaat,2022,ETL,94993,
41193822,Stichting Steun Goois Natuurreservaat,2024,ETL,94993,
70857016,FGN,2023,ETL,66191,
70857016,FGN,2024,ETL,66191,
61920541,DJI Europe B.V.,2024,ETL,52250,
69773408,FruitPro B.V.,2024,ETL,46311,
50685643,Gemeenschappelijke Regeling De Waddeneilanden,2023,ETL,84110,
58592199,Beheerkantoor/bezoekerscentrum Recreatieschap Twiske-Waterland,2024,ETL,81302,
30195065,P.J. Oosterlaken Holding B.V.,2016,ETL,66191,
16057121,P.G.J. Remmits B.V.,2017,ETL,6420,
08110898,AL-West B.V.,2017,ETL,7112,
64808726,Takkenkamp Groep B.V.,2017,ETL Dales,6420,
62305824,Kiremko Group B.V.,2017,ETL,6420,
09061960,Delipain B.V.,2017,ETL,6420,
66704383,Praktijk Denktank,2021,ETL Dales,,
58592199,Beheerkantoor/bezoekerscentrum Recreatieschap Twiske-Waterland,2023,ETL,81302,
75236516,Boekestijn Transport Holding B.V.,2023,ETL,64210,
01173331,Gemeente Schiermonnikoog,2022,ETL,84110,
12033038,NLW Groep N.V.,2022,ETL,70102,
37075988,Bibelot Beheer B.V.,2022,ETL,64210,
27226580,Van Velthoven Holding B.V.,2023,ETL,64210,
11043696,Kranendonk Beheersmaatschappij B.V.,2022,ETL,70102,
11043696,Kranendonk Beheersmaatschappij B.V.,2023,ETL,70102,
11043696,Kranendonk Beheersmaatschappij B.V.,2024,ETL,70102,
29048843,Texo Trade Services B.V.,2022,ETL,46862,
37158509,Gemeente Castricum,2022,ETL,84110,
54893119,City Kids Rotterdam B.V.,2023,ETL,49330,
63503387,Zoho Corporation B.V.,2023,ETL,62200,
30195065,P.J. Oosterlaken Holding B.V.,2015,ETL,66191,
82619786,Praktijk Denktank B.V.,2021,ETL Dales,86930,
33303784,Stichting IJ Producties,2022,ETL,,
37159392,Gemeente Bergen,2022,ETL,84110,
37159392,Gemeente Bergen,2023,ETL,84110,
32170514,GGD Flevoland,2024,ETL,86221,
82619786,Praktijk Denktank B.V.,2025,ETL Dales,86930,
29049665,KANDT Holding B.V.,2024,ETL,64210,
17150389,Boekestijn Transport Service B.V.,2024,ETL,52310,
09089680,Saba Holding B.V.,2015,ETL,6420,
09044155,Bakkerij W. Wiltink B.V.,2016,ETL,1071,
24135115,Eurobolt B.V.,2017,ETL,46741,
09181203,Pfeifer & Koehorst B.V.,2017,ETL,6420,
09181206,Pfeifer Heavy Machinery B.V.,2017,ETL,4663,
24135115,Eurobolt B.V.,2016,ETL,46741,
27287737,Openbare Bibliotheek Wassenaar,2022,ETL,91111,
95515909,Thasha Holding B.V.,2023,ETL,64210,
41193822,Stichting Steun Goois Natuurreservaat,2023,ETL,94993,
52015319,Stichting Kinderhulp Dominicaanse Republiek,2017,ETL,94996,
82619786,Praktijk Denktank B.V.,2024,ETL Dales,86930,
30067834,G.H. Lukassen en Zoon B.V.,2017,ETL,46311,
12033038,NLW Groep N.V.,2023,ETL,70102,
37158864,Beheerkantoor/bezoekerscentrum Recreatieschap Geestmerambacht,2024,ETL,81302,
69068917,Top Groep Training & Begeleiding B.V.,2023,ETL Jansen,85591,
37162503,Gemeente Purmerend,2022,ETL,84110,
34363838,Gemeente Uitgeest,2023,ETL,84110,
81349505,CePeBe B.V.,2023,ETL,46499,
32122502,Collina Holding B.V.,2022,ETL,64210,
28108571,Stichting Planck,2022,ETL,85522,
68274661,OWG Zorg B.V.,2017,ETL,86942,
37159718,Gemeente Drechterland,2023,ETL,84110,
30286795,Gemeente De Bilt,2024,ETL,84110,
37159104,Gemeente Texel,2024,ETL,84110,
34359094,Crane Worldwide Logistics B.V.,2024,ETL,52250,
29049665,KANDT Holding B.V.,2023,ETL,64210,
54477506,Gemeente Hollands Kroon,2023,ETL,84110,
09220177,HEEMZORG,2023,ETL Dales,87302,
41239939,Artiance hoofdgebouw,2024,ETL,85522,
27235875,Gait & Rik Houdstermaatschappij B.V.,2024,ETL,64210,
67925669,Beschermd Wonen De Overstap B.V.,2025,ETL,87202,
71898425,Konings Maters Accountants en Adviseurs,2024,ETL,69202,
32170514,GGD Flevoland,2025,ETL,86221,
52173380,City Kids Den Haag B.V.,2023,ETL,88910,
53878388,Gemeente Oudewater; Stadhuis,2024,ETL,84110,
