kvk,naam,boekjaar,accountant,sbi,plaats
24341008,'DDV' Holding B.V.,2017,Flynth,6420,
12039353,'Le Vertige' Beheer B.V.,2015,Flynth,6420,
12039353,'Le Vertige' Beheer B.V.,2016,Flynth,6420,
12039353,'Le Vertige' Beheer B.V.,2017,Flynth,6420,
34276889,'Samen tussen Amstel en IJ' Stichting voor Openbaar Primair Onderwijs,2015,Flynth,85201,
34276889,'Samen tussen Amstel en IJ' Stichting voor Openbaar Primair Onderwijs,2016,Flynth,85201,
34276889,'Samen tussen Amstel en IJ' Stichting voor Openbaar Primair Onderwijs,2017,Flynth,85201,
24117679,A. Hartrodt Nederland B.V.,2015,Flynth,52291,
23016365,A. van der Hoeven Transport B.V.,2015,Flynth,6420,
01071907,A.C. Hartman B.V.,2015,Flynth,01132,
01071907,A.C. Hartman B.V.,2016,Flynth,01132,
01124840,A.C. Hartman Beheer B.V.,2015,Flynth,70102,
01124840,A.C. Hartman Beheer B.V.,2016,Flynth,70102,
29028878,A.J.M. van Lint Holding B.V.,2015,Flynth,6420,
23048861,Aannemersbedrijf Gebroeders Blokland B.V.,2016,Flynth,4120,
23048861,Aannemersbedrijf Gebroeders Blokland B.V.,2017,Flynth,4120,
50280600,Abel Services B.V.,2015,Flynth,,
27229998,Agrarisch Uitzendbureau Van Bergen B.V.,2015,Flynth,78201,
27229998,Agrarisch Uitzendbureau Van Bergen B.V.,2016,Flynth,78201,
27229998,Agrarisch Uitzendbureau Van Bergen B.V.,2017,Flynth,78201,
32096051,AimValley B.V.,2015,Flynth,70102,
32096051,AimValley B.V.,2016,Flynth,70102,
32096051,AimValley B.V.,2017,Flynth,70102,
30250983,AK Property B.V.,2015,Flynth,6832,
34319180,Algemene Bijzondere Scholengroep Amsterdam ABSA Scholengroep,2017,Flynth,94995,
57567204,Amigos Plants Holding B.V.,2015,Flynth,6420,
57567204,Amigos Plants Holding B.V.,2016,Flynth,6420,
57567204,Amigos Plants Holding B.V.,2017,Flynth,64210,
34235744,Ammerlaan Roses B.V.,2016,Flynth,01192,
34235744,Ammerlaan Roses B.V.,2017,Flynth,01192,
34238596,"AmstelWijs, stichting voor openbaar primair    onderwijs",2016,Flynth,85201,
34238596,"AmstelWijs, stichting voor openbaar primair    onderwijs",2017,Flynth,85201,
34238596,"AmstelWijs, stichting voor openbaar primair onderwijs",2015,Flynth,85201,
32137060,"Ante, stichting voor openbare- en samenwerkingsscholen",2017,Flynth,85201,
62211943,Arend Roses Holding B.V.,2015,Flynth,6420,
62211943,Arend Roses Holding B.V.,2017,Flynth,6420,
09117821,Arrono B.V.,2017,Flynth,70102,
27269573,Artemis Nurseries B.V.,2015,Flynth,0130,
27269573,Artemis Nurseries B.V.,2016,Flynth,70101,
34105740,"ASKO, Amsterdamse Stichting voor Katholiek, Protestants-christelijk en Interconfessioneel onderwijs",2017,Flynth,85201,
24112091,Auto- en Motorhandel Van Pelt B.V.,2015,Flynth,45112,
32136030,Baas Groep B.V.,2015,Flynth,70102,
32136030,Baas Groep B.V.,2016,Flynth,70102,
37088016,BD Tussenholding B.V.,2015,Flynth,6612,
