kvk,naam,boekjaar,accountant,sbi,plaats
05065044,Visscher Caravelle Holding B.V.,2017,Grant Thornton,70102,
62239740,VCG B.V.,2017,Grant Thornton,6420,
34298900,Windcat Workboats B.V.,2017,Grant Thornton,5010,
58152555,DWA Holding B.V.,2017,Grant Thornton,6420,
30241730,Groenendijk Bedrijfskleding B.V.,2017,Grant Thornton,46422,
30283799,Comenius Adviesburo B.V.,2017,Grant Thornton,7220,
30185134,Kenike B.V.,2017,Grant Thornton,66191,
34158661,MILIEU SERVICE NEDERLAND B.V.,2017,Grant Thornton,77399,
24463775,CTS Netherlands B.V.,2017,Grant Thornton,7112,
23048223,Iv-Holding B.V.,2017,Grant Thornton,6420,
28093235,Dammes Laban Holding B.V.,2017,Grant Thornton,6420,
53122887,Combilo B.V.,2017,Grant Thornton,46311,
30062949,Drukkerij Verweij B.V.,2017,Grant Thornton,18129,
24280207,R.M.I. Chemical Logistics B.V.,2017,Grant Thornton,52291,
55702244,BlueCielo Group B.V.,2017,Grant Thornton,70102,
56571291,Corendon Hotels & Resorts B.V.,2017,Grant Thornton,6420,
14046959,Burrows Dutch Holding B.V.,2017,Grant Thornton,6420,
54722144,Keelings Fresh International Limited,2017,Grant Thornton,46311,
50741632,Stichting Present,2019,Grant Thornton,,
30202459,Stichting Singelzicht,2020,Grant Thornton,,
29035244,Doove Care Groep B.V.,2019,Grant Thornton,46462,
29035244,Doove Care Groep B.V.,2020,Grant Thornton,46462,
29035244,Doove Care Groep B.V.,2021,Grant Thornton,46462,
29035244,Doove Care Groep B.V.,2022,Grant Thornton,46462,
29035244,Doove Care Groep B.V.,2023,Grant Thornton,46462,
56822804,SemGroup Netherlands B.V.,2020,Grant Thornton,6420,
66895332,Electro-Cirkel RETAIL B.V.,2020,Grant Thornton,46473,
66895332,Electro-Cirkel RETAIL B.V.,2021,Grant Thornton,46473,
66895332,Electro-Cirkel RETAIL B.V.,2022,Grant Thornton,46473,
62239740,VCG B.V.,2020,Grant Thornton,64210,
61296201,The Cargo Control Company B.V.,2020,Grant Thornton,64210,
61296201,The Cargo Control Company B.V.,2022,Grant Thornton,64210,
61296201,The Cargo Control Company B.V.,2023,Grant Thornton,64210,
71549242,Global Holdings Netherlands B.V.,2020,Grant Thornton,64210,
34206964,TrueNoord,2021,Grant Thornton,64210,
75462788,Eastern European Electric Company B.V.,2022,Grant Thornton,64210,
63205769,Fred Slob Holding B.V.,2022,Grant Thornton,64210,
67457134,Vakmedianet Investments B.V.,2018,Grant Thornton,64210,
59379146,PaCo B.V.,2020,Grant Thornton,64210,
24292404,Skihut Holding B.V.,2018,Grant Thornton,64210,
24292404,Skihut Holding B.V.,2017,Grant Thornton,64210,
24099628,Broekman Group B.V.,2020,Grant Thornton,52310,
24099628,Broekman Group B.V.,2022,Grant Thornton,52310,
34136068,Center Parcs Europe B.V.,2023,Grant Thornton/ E&Y,64210,
34136068,Center Parcs Europe B.V.,2024,Grant Thornton / E&Y,64210,
39095951,Moore MTH Holding B.V.,2020,Grant Thornton,,
57815534,Hayat Kimya Holding B.V.,2018,Grant Thornton,64210,
24445976,BDP Global Services B.V.,2017,Grant Thomton,52260,
34036913,KSB Nederland B.V.,2021,Grant Thornton,28130,
34307546,Unify Holdings B.V.,2020,Deloitte ; Grant Thornton,64210,
24052685,Maasvlakte Olie Terminal N.V.,2018,Grant Thornton,52101,
24052685,Maasvlakte Olie Terminal N.V.,2020,Grant Thornton,52101,
32127003,Applied Medical Distribution Europe B.V.,2018,Grant Thornton,32502,
32127003,Applied Medical Distribution Europe B.V.,2023,Grant Thornton,32502,
57221677,Walraven Mijdrecht Holding B.V.,2021,Grant Thornton,64210,
65923065,Lavrijsen Beheer B.V.,2019,Grant Thornton,64210,
65923065,Lavrijsen Beheer B.V.,2018,Grant Thornton,64210,
24120312,Aluminium & Chemie Rotterdam B.V.,2018,Grant Thornton,27900,
24120312,Aluminium & Chemie Rotterdam B.V.,2019,Grant Thornton,27900,
24120312,Aluminium & Chemie Rotterdam B.V.,2021,Grant Thornton,27900,
24120312,Aluminium & Chemie Rotterdam B.V.,2023,Grant Thornton,27900,
10028475,Het Rijk Golfbanen B.V.,2022,Grant Thornton,70102,
34045490,RPC Packaging Europe B.V.,2022,Grant Thornton,,
33187718,Synovate,2021,"Grant Thornton, Mazars",73200,
