kvk,naam,boekjaar,accountant
32026344,"""Hoogh Blarick"" B.V.",2024,KPMG
81936214,3i Benelux B.V.,2024,KPMG
34065005,A.L. Hoogesteger Fresh Specialist,2024,KPMG
72379308,A/NPC Holdings Netherlands B.V.,2024,KPMG
04026125,Aareon Nederland B.V.,2024,KPMG
37158487,AB Vakwerk Groep B.V.,2024,KPMG
83315233,ABB B.V.,2024,KPMG
24000504,ABB E-mobility B.V.,2024,KPMG
34215458,Abertis Infraestructuras Finance B.V.,2024,KPMG
05058078,ABN AMRO Schadeverzekering N.V.,2024,KPMG
05027455,ABN AMRO Verzekeringen B.V.,2024,KPMG
01082289,Accell Group B.V.,2024,KPMG
34156015,Accenture B.V.,2024,KPMG
27162941,Accenture Central Europe B.V.,2024,KPMG
27161549,Accenture Holdings B.V.,2024,KPMG
27162935,Accenture Middle East B.V.,2024,KPMG
27157815,Accenture Technology Ventures B.V.,2024,KPMG
16084594,Acer Europe B.V.,2024,KPMG
57582041,Acorn Holdings B.V.,2024,KPMG
53105206,ACTA* Holding B.V.,2024,KPMG
53029712,Action Holding B.V.,2024,KPMG
33266509,Adobe Systems Benelux B.V.,2024,KPMG
52912299,Aegon Cappital B.V.,2024,KPMG
27095315,AEGON Levensverzekering N.V.,2024,KPMG
34251954,AerCap Holdings N.V.,2024,KPMG
59596171,Ahlström Invest B.V.,2024,KPMG
41231396,Ahold Delhaize Pensioen,2024,KPMG
17063904,Air Liquide B.V.,2024,PwC ; KPMG
17076906,Air Liquide Nederland B.V.,2024,PwC ; KPMG
28086907,Airbus Netherlands B.V.,2024,KPMG
17096369,Albatros Son Holding B.V.,2024,KPMG
20056938,Allied International Holdings B.V.,2024,KPMG; Deloitte
20051296,Allied Spirits & Wine (Europe) B.V.,2024,KPMG; Deloitte
20025410,Allnex Netherlands B.V.,2024,KPMG
39100741,Almeerse Scholen Groep,2024,KPMG
20060872,Almunda Professionals N.V.,2024,KPMG
71721975,Alpha ABMD Holdco B.V.,2024,KPMG
30161681,"Altrecht, Hoofdgebouw, Sanatoriumterrein Zeist",2024,KPMG
08012289,Altrex B.V.,2024,KPMG
34110628,Alumexx N.V.,2024,KPMG
24438766,Amaggi Europe B.V.,2024,KPMG
34274461,Ambatovy Mineral Resources Investment B.V.,2024,KPMG
34261128,AMG Critical Materials N.V.,2024,KPMG
71725385,Ammega Group B.V.,2024,KPMG
33169598,Amsterdam Fertilizers,2024,KPMG
64907422,Amsterdam Global Ventures B.V.,2024,KPMG
70918406,Amvest Development Fund B.V.,2024,KPMG
30061314,Amvest Vastgoed B.V.,2024,KPMG
14634728,Anderol B.V.,2024,KPMG
50544403,Anderzorg,2024,KPMG
17045790,ANDRITZ FEED & BIOFUEL B.V.,2024,KPMG
73240028,ANIC Invest B.V.,2024,KPMG
91235960,Ansell Healthcare Europe - NL Branch,2024,KPMG
55728901,Antenna Greece B.V.,2024,KPMG
63260093,Antin Elephant Bidco B.V.,2024,KPMG
62432818,Apex Global Logistics (NL) B.V.,2024,KPMG
58476369,APG Asset Management N.V.,2024,KPMG
14099616,APG Groep N.V.,2024,KPMG
68521898,APG Liquiditeitenbeheer B.V.,2024,KPMG
80407439,APi Group Dutch HoldCo B.V.,2024,KPMG
34062769,Applied Materials Europe B.V.,2024,KPMG
72840188,AREA1 MEXICO MV34 B.V.,2024,KPMG
32115452,Arrow Global Investments Holdings Benelux B.V.,2024,KPMG
33238888,Arvato Netherlands B.V.,2024,KPMG
24426567,Asahi Netherlands B.V.,2024,KPMG
