kvk,naam,boekjaar,accountant,sbi,plaats
30214009,Stichting Vredesbeweging PAX Nederland,2020,Mazars,94996,
01031931,Stichting Dynhus,2020,Mazars,68201,
41198289,Stichting Pensioenfonds Mercer,2021,Mazars,65302,
65001583,Stichting Het Nederlandse Pensioenfonds,2021,Mazars,65302,
73011312,DTS Holding B.V.,2021,Mazars,64210,
41023912,Het Flevo-landschap,2020,Mazars,91420,
41023912,Het Flevo-landschap,2021,Mazars,91420,
30139084,Arval B.V.,2020,Mazars,77112,
30139084,Arval B.V.,2021,Mazars,77112,
41151329,Stichting Pensioenfonds Ernst & Young,2020,Mazars,65302,
63774356,Stichting Administratiekantoor Continuïteit ABN AMRO Bank,2021,Mazars,66191,
41027020,Stichting Erfgoed Stikaz,2020,Mazars,94993,
61834270,Stichting Bedrijfstakpensioenfonds voor de Zuivel en aanverwante industrie,2020,Mazars,65301,
37145799,KMU Verzekeringen N.V.,2021,Mazars,65121,
41160229,Stichting PUM,2020,Mazars,94996,
41160229,Stichting PUM,2021,Mazars,94996,
59826525,Bredenoord Holding B.V.,2020,Mazars,64210,
28085082,Valkenhorst Participatie B.V.,2020,Mazars,64210,
27339260,Nederlandse Orde van Advocaten,2020,Mazars,94120,
76479587,Riedel Beheer B.V.,2020,Mazars,64210,
76479587,Riedel Beheer B.V.,2021,Mazars,64210,
34317623,Wegochem Europe B.V.,2020,Mazars,46851,
34317623,Wegochem Europe B.V.,2021,Mazars,46851,
18047247,Vpk Nederland B.V.,2020,Mazars,64210,
17061117,Spirotech B.V.,2021,Mazars,28290,
11015371,Meubelfabriek De Toekomst B.V.,2020,Mazars,31000,
41187306,Museum Catharijneconvent,2020,Mazars,91211,
57450765,Tradiro Personeelsdiensten B.V.,2020,Mazars,78201,
10024859,ANAC B.V.,2020,Mazars,70102,
20114702,Interstellar Zuid B.V.,2021,Mazars,64210,
30106792,Ma Group B.V.,2021,Mazars,64210,
57811067,Yellow Chips Holding B.V.,2021,Mazars,64210,
76001601,VDF European Holdings B.V.,2020,Mazars,46382,
80019471,Nextco 2.0 B.V.,2020,Mazars,64210,
16063843,Cyclomedia,2020,Mazars,62100,
33289126,Vistra Depositary Services B.V.,2020,Mazars,64210,
33289126,Vistra Depositary Services B.V.,2021,Mazars,64210,
33288437,Bolo B.V.,2020,Mazars,70201,
33288437,Bolo B.V.,2021,Mazars,70201,
60904755,Gilde Equity Management (GEM) Benelux Fund III Coöperatief B.A.,2020,Mazars,64923,
30093002,Fashion Linq B.V.,2020,Mazars,46861,
09048710,Kaak Bakeware B.V.,2020,Mazars,25510,
11067133,Van Dillen Groep,2020,Mazars,66120,
29030061,Oranjewoud N.V.,2020,Mazars,64210,
75236095,Huuskes Holding B.V.,2021,Mazars,64210,
41223485,Teylers Museum,2021,Mazars,91211,
24379832,Nevo Holding,2021,Mazars,64210,
41150184,Stichting Nederlands Dans Theater,2020,Mazars,90200,
52977110,Sungevity Netherlands B.V.,2021,Mazars,43211,
05052143,Breman Installatiegroep B.V.,2020,Mazars,70102,
05052143,Breman Installatiegroep B.V.,2021,Mazars,70102,
30204038,FWG Bedrijf B.V.,2021,Mazars,62100,
09178566,Kaak Groep B.V.,2020,Mazars,64210,
30007294,De Stiho Groep B.V.,2020,Mazars,64310,
30007294,De Stiho Groep B.V.,2021,Mazars,64310,
40506058,vereniging eigen huis,2021,Mazars,94997,
34103753,Record Industry B.V.,2020,Mazars,18200,
24271429,BNP Paribas Leasing Solutions N.V.,2020,Mazars,64922,
56074875,PricewaterhouseCoopers Service Delivery Centre Holdings (Katowice) B.V.,2021,Mazars,70102,
69407193,Mondriaan 2017 B.V.,2020,Mazars,64310,
41212043,Stichting CliniClowns Nederland,2020,Mazars,94995,
41212043,Stichting CliniClowns Nederland,2021,Mazars,94995,
67976425,Accunia European CLO II B.V.,2020,Mazars,,
