kvk,naam,boekjaar,accountant,sbi,plaats
08081845,Sonah B.V.,2023,Newtone,64210,
72927739,Janssen Van Kouwen Automotive B.V.,2023,Newtone,47810,
08063183,FRUIT OP JE WERK,2023,Newtone,46311,
24110319,Navigator Terminals Thames Limited B.V.,2024,Newtone,52101,
73311693,Enrico Food Group B.V.,2023,Newtone,70202,
28062071,CleanLease B.V.,2023,Newtone,96100,
56636415,Holding De Jager B.V.,2023,Newtone,64210,
78770017,Espenbos Kliniek,2023,Newtone,86230,
14101060,Regout Group B.V.,2024,Newtone,70102,
34344816,Plant Trend B.V.,2023,Newtone,46220,
88418685,Huisartsenpraktijk de Brink B.V.,2024,Newtone,86210,
08063183,FRUIT OP JE WERK,2024,Newtone,46311,
13021491,Kragten B.V.,2024,Newtone,71120,
14061546,Zuid-Nederlandse Buizen B.V.,2023,Koenen en Co ; Newtone,46822,
61343129,HumanTotalCare B.V.,2023,Newtone,86991,
54436222,Stichting CNV Internationaal,2024,Newtone,94997,
92243789,ORTEC International Holdco B.V.,2024,Newtone,64210,
14027758,Dols Geleen B.V.,2023,Newtone,64210,
14027758,Dols Geleen B.V.,2024,Newtone,64210,
17019828,Sloop en Grondwerken M. Heezen B.V.,2023,Newtone,43110,
16060388,Veluw Metal Creations Beheer B.V.,2023,Newtone Audit,64210,
16060388,Veluw Metal Creations Beheer B.V.,2024,Newtone,64210,
84507071,ZBG Capital B.V.,2024,Newtone,70102,
34289306,Librium Holding B.V.,2023,Newtone,70201,
17088126,A.W.M. Meulendijks Beheer B.V.,2024,Newtone,64210,
24314442,Solina Netherlands B.V.,2023,Newtone,10840,
16085425,Ivan Vos Holding B.V.,2023,Newtone,64210,
30088645,Blueprint Holding B.V.,2024,Newtone,70102,
56687338,VDS B.V.,2023,Newtone,64210,
56687338,VDS B.V.,2024,Newtone,64210,
75148110,Jupiter Techniek B.V.,2024,Newtone,64210,
24236705,Bell Identification B.V.,2023,Newtone,62100,
52225658,Qualityzorg B.V.,2023,Newtone,86942,
52225658,Qualityzorg B.V.,2024,Newtone,86942,
27184783,Buhold Industries B.V.,2022,Newtone,64210,
17066901,Alcre (Best) B.V.,2024,Newtone,64210,
57575940,'t Hulzevoort B.V.,2023,Newtone,64210,
66468000,SVHH Holding B.V.,2023,Newtone,64210,
66468000,SVHH Holding B.V.,2024,Newtone,64210,
52747875,BIS2 International Holding B.V.,2023,Newtone,70102,
16062807,Techval B.V.,2024,Newtone,43221,
24120889,Euro-Index B.V.,2023,Newtone,46645,
30089111,Blueprint Automation B.V.,2023,Newtone,28290,
85718165,Freshclusive B.V.,2024,Newtone,46311,
17034259,Conveni Liessel B.V.,2023,Newtone,10850,
80829147,De Recher B.V.,2024,Newtone,64210,
14633040,Laura Staalcenter Maastricht B.V.,2024,Newtone,25400,
06063074,Oostland Almelo B.V.,2024,Newtone,47810,
66371856,Happy Horizon B.V.,2023,Newtone,64210,
66371856,Happy Horizon B.V.,2024,Newtone,64210,
17122771,REV'IT! SPORT INTERNATIONAL B.V.,2023,Newtone,46496,
56680252,Van Heur Bouw & Onderhoud B.V.,2024,Newtone,41000,
09143544,Anur Halalfood B.V.,2024,Newtone,46321,
87526697,Aannemingen Beheer B.V.,2024,Newtone,64210,
76478092,Niersman Bouw Haaglanden B.V.,2024,Newtone,41000,
78337593,Match Venlo Holding B.V.,2024,Newtone,64210,
69629676,Mexx Fashion B.V.,2024,Newtone,64210,
60319232,SoGood Holding B.V.,2024,Newtone,64210,
14042905,Cadac Group Holding B.V.,2023,Newtone,77330,
23068585,Costo Intralogistics,2023,Newtone,46641,
24221658,Hempel (The Netherlands),2024,Newtone,46832,
17094878,Holding van Cranenbroek Budel B.V.,2023,Newtone,64210,
17094878,Holding van Cranenbroek Budel B.V.,2024,Newtone,64210,
76597210,Genson Group,2024,Newtone,70101,
76871029,AGT Foods Europe,2023,Newtone,46218,
29031586,Vergeer Holding B.V.,2024,Newtone,64210,
63793539,Park Europe Investor B.V.,2023,Newtone,64210,
17238114,Escada B.V.,2024,Newtone,43320,
09135999,4CEE,2024,Newtone,64210,
13014072,EP:Tummers Magazijn,2024,Newtone,47401,
50170295,RNF B.V.,2023,Newtone,64210,
71683208,FYEO Europe B.V.,2023,Newtone,64210,
71683208,FYEO Europe B.V.,2024,Newtone,64210,
71142835,BOAL Holding Coöperatief U.A.,2024,Newtone,64210,
17089318,Knapen Trailers B.V.,2024,Newtone,29202,
17080756,Marlies Beheer B.V.,2023,Newtone,64210,
64932583,Cryotek Holding B.V.,2024,Newtone,64210,
17096038,J. van Doormalen Beheer B.V.,2023,Newtone,64210,
89901800,WPS Group B.V.,2023,Newtone,62100,
41099612,Stichting Jongerenwerk Tavenu,2023,Newtone,88992,
41078595,Stichting Stille Armen Maastricht,2024,Newtone,88999,
12017531,Van der Linden Poultry Products B.V.,2024,Newtone,10120,
30114902,Van Breukelen Kaas B.V.,2022,Newtone,46331,
16079456,Vandoren B.V.,2023,Newtone,27900,
17144897,VB Groep B.V.,2024,Newtone,64210,
60784199,Firmus Sequenti B.V,2024,Newtone,70102,
69191964,Scheuten Glass Holding B.V.,2023,Newtone,64210,
11008046,Gouda Vuurvast Services B.V.,2024,Newtone,41000,
52869717,Bel Air Den Haag Beheer B.V.,2024,Newtone,64210,
34115327,Riviera Maison B.V.,2023,Newtone,47761,
84592311,Hoog holding B.V.,2023,Newtone,64210,
17066901,Alcre (Best) B.V.,2023,Newtone,64210,
17027989,Van den Bosch Beheer B.V.,2023,Newtone,64210,
17027989,Van den Bosch Beheer B.V.,2024,Newtone,64210,
39079854,Veco Groente en Bloembollen B.V.,2023,Newtone,01131,
11060324,K.W.M. Holding B.V.,2023,Newtone,64210,
17166197,KGT Kool Graphic Trade B.V.,2023,Newtone,46649,
61103772,Janssen Maastricht Holding B.V.,2024,Newtone,64210,
16057826,HaGé B.V.,2023,Newtone,64210,
24275632,Cool Control B.V.,2023,Newtone,52102,
17062460,Habufa Meubelen B.V.,2023,Newtone,46471,
17160446,Van Winkel Bros. B.V.,2024,Newtone,64210,
69247668,Blendwell Food Group B.V.,2023,Newtone,70201,
67462995,KRE Holding B.V.,2023,Newtone,64210,
67462995,KRE Holding B.V.,2024,Newtone,64210,
12038443,Mpor Holding B.V.,2024,Newtone,64210,
50209183,Wijnoud Woerden B.V.,2023,Newtone,70201,
11042949,Railtechniek Van Herwijnen B.V.,2023,Newtone,33121,
11042949,Railtechniek Van Herwijnen B.V.,2024,Newtone,33121,
40530895,"HUMANITAS, Nederlandse vereniging voor maatschappelijke dienstverlening en samenlevingsopbouw",2023,Newtone,88992,
32112819,Beheer ACM B.V.,2024,Newtone,70102,
17143771,Teledyne DALSA B.V.,2024,Newtone,26110,
41146600,Stichting Kledingophaal voor Algemeen Medisch Onderzoek,2023,Newtone,88999,
64329836,Fixami Nederland B.V.,2023,Newtone,70102,
50229710,VB Bouw Holding B.V.,2024,Newtone,64210,
14070647,A.D.J. Supply Europe Headquarters B.V.,2024,Newtone,64210,
17145896,Scherpenhuizen Holding B.V.,2023,Newtone,46311,
28034905,Ploeg Beheer B.V.,2023,Newtone,64210,
