kvk,naam,boekjaar,accountant,sbi,plaats
41134252,"""Stichting Woonplus Schiedam""",2025,PwC,68201,
28071597,3M International Group B.V.,2025,PwC,70102,
28038759,3M Nederland Holding B.V.,2025,PwC,20590,
17204312,Acal BFi Netherlands B.V.,2025,PwC,46140,
41020275,"Accare, bestuursbureau en centrale diensten",2025,PwC,86104,
78608651,ACR III Construction Holdings II B.V.,2025,PwC,64210,
77213793,Acture Group B.V.,2025,PwC,70102,
18012279,Ad van Geloven B.V.,2025,PwC,10130,
34388204,Add Value Fund N.V.,2025,PwC,64310,
22063723,Admiraal De Ruyter Ziekenhuis B.V.,2025,PwC,86102,
34259528,Adyen N.V.,2025,PwC,62200,
33302453,AFC Ajax N.V.,2025,PwC,93121,
33266492,Agip Caspian Sea B.V.,2025,PwC,06100,
33266493,Agip Karachaganak B.V.,2025,PwC,06100,
34159661,Akamai International B.V.,2025,PwC,64210,
24366820,AKD N.V.,2025,PwC,69103,
41125061,Akropolis,2025,PwC,87100,
09032399,AKZO Nobel Assurantie N.V.,2025,PwC,65121,
09007809,Akzo Nobel N.V.,2025,PwC,70102,
23091362,"Albert Schweitzer Ziekenhuis, locatie Dordwijk",2025,PwC,86102,
24279929,Albron B.V.,2025,PwC,64210,
97696846,Alcoa Global Holding B.V.,2025,PwC,64210,
64462846,Alfen N.V.,2025,PwC,64210,
65271505,Alibaba (Netherlands) B.V.,2025,PwC,70202,
24297777,All Safety,2025,PwC,46422,
34108286,Alliander N.V.,2025,PwC,70102,
55352650,Allianz Premie Pensioen Instelling B.V.,2025,PwC,65301,
23077575,Allison Transmission Europe B.V.,2025,PwC,46720,
60824522,Almata,2025,PwC,88991,
69382115,Alnylam Netherlands B.V.,2025,PwC,46461,
34308168,ALSTOM Netherlands B.V.,2025,PwC; Mazars,33170,
56206739,AMCS B.V.,2025,PwC,62100,
33299171,"Amstelring Groep, Amstelring / Leo Polak",2025,PwC,87302,
64148300,AN Direct B.V.,2025,PwC,64210,
75393409,Annadal Kliniek B.V.,2025,PwC,86221,
24187887,Anthony Veder Group N.V.,2025,PwC,64210,
27303900,APM Terminals B.V.,2025,PwC,64210,
28040948,Aramco Overseas Company B.V.,2025,PwC,71120,
32104230,Arts en Zorg B.V.,2025,PwC,68320,
34173812,AS Watson (Europe) Holdings B.V.,2025,PwC,64210,
55947956,AS Watson (Europe) Retail Holdings B.V.,2025,PwC,64210,
17085815,ASML Holding,2025,PwC,64210,
24234576,AstraZeneca B.V.,2025,PwC,46461,
24369841,ASVZ,2025,PwC,87201,
33261458,Atlas Professionals B.V.,2025,PwC,64210,
34196963,Atradius N.V.,2025,PwC,64210,
62023055,Attarat Mining Company B.V.,2025,PwC,64210,
62027204,Attarat Operation and Maintenance Company B.V.,2025,PwC,35110,
62027239,Attarat Power Holding Company B.V.,2025,PwC,64210,
34233872,Avago Technologies Holdings B.V.,2025,PwC,73110,
41104408,Avans Hogeschool te Tilburg,2025,PwC,85401,
34138918,Avantium N.V.,2025,PwC,71120,
30165761,Avaya Holding EMEA B.V.,2025,PwC,64210,
95723269,Avidity Holding B.V.,2025,PwC,64210,
58916660,AVROTROS,2025,PwC,60200,
81697244,Azerion Group N.V.,2025,PwC,64210,
16049975,B. Braun Medical B.V.,2025,PwC,46462,
33099316,B.V. Bureau van de Nederlandse Pool voor Verzekering van Atoomrisico's,2025,PwC,66220,
33164385,Bacardi-Martini B.V.,2025,PwC,64210,
81096461,Balenciaga Netherlands B.V.,2025,PwC ; Deloitte,47721,
92280609,Barentz Group B.V.,2025,PwC,64210,
34245062,Basell Sales & Marketing Company B.V.,2025,PwC,46851,
14093330,Beeeter,2025,PwC,86999,
31045961,Beheermaatschappij De 4 Elementen B.V.,2025,PwC,64210,
37083070,Bejo Finance B.V.,2025,PwC,64923,
30039642,Beko Benelux,2025,PwC,64210,
01131735,Benaulim,2025,PwC,62100,
33174709,Benno Leeser Holding B.V.,2025,PwC,64310,
30160566,Bergman Medical Care B.V.,2025,PwC,86221,
54363195,Bergman Uiterlijk,2025,PwC,64210,
14025207,Berner Produkten B.V.,2025,PwC,46838,
80204716,Bevolkingsonderzoek Nederland,2025,PwC,86992,
39051693,Bidfood B.V.,2025,PwC,46390,
32060212,Bindinc. B.V.,2025,PwC,58130,
34108067,Biogen Netherlands B.V.,2025,PwC,46461,
61048577,Bloezem Holding B.V.,2025,PwC,64210,
86707590,Blue Phoenix Holding B.V.,2025,PwC,64210,
73832901,Blueprint Medicines (Netherlands) B.V.,2025,PwC,72100,
27063861,BMW Nederland B.V.,2025,PwC,47810,
27008387,BNG Bank N.V.,2025,PwC,64194,
10027450,Bovemij N.V.,2025,PwC,64210,
08024283,BPD Europe B.V.,2025,PwC,68110,
09062332,Bracamonte B.V.,2025,PwC,64210,
34091944,Brambles Investments Europe B.V.,2025,PwC,64210,
80313566,Brightstar Lottery Holdings B.V.,2025,PwC,64210,
69053898,Brisker Holding B.V.,2025,PwC,64210,
14097575,Broadview Materials B.V.,2025,PwC,64210,
30122110,Brocacef Groep N.V.,2025,PwC,66191,
41062007,Brocacef Ziekenhuisfarmacie B.V.,2025,PwC,86999,
33054904,BUNZL Outsourcing Services B.V.,2025,PwC,46862,
24242191,CA Software Holding B.V.,2025,PwC,64210,
02034210,Cadmatic B.V.,2025,PwC,62100,
34099723,CAE Center Amsterdam B.V.,2025,PwC,85591,
41025416,Campus Deltion College,2025,PwC,85320,
32033579,Carl Zeiss B.V.,2025,PwC,46435,
34259328,CBMM Europe B.V.,2025,PwC,46120,
24158580,Cefetra B.V.,2025,PwC,46215,
56121172,Cefetra Group B.V.,2025,PwC,64210,
