kvk,naam,boekjaar,accountant
40537128,"""NEDERLANDSE WOONBOND""",2025,Share Impact
24177789,De Leeuw van Putten,2023,Share Impact
24177789,De Leeuw van Putten,2024,Share Impact
24177789,De Leeuw van Putten,2025,Share Impact
30070521,De Woningraat,2022,Share Impact
30070521,De Woningraat,2023,Share Impact
30070521,De Woningraat,2024,Share Impact
30070521,De Woningraat,2025,Share Impact
28046646,Decos Beheer B.V.,2018,Share Impact
28046646,Decos Beheer B.V.,2019,Share Impact
28046646,Decos Beheer B.V.,2020,Share Impact
28046646,Decos Beheer B.V.,2020,"The Hague, Share Impact"
28046646,Decos Beheer B.V.,2021,Share Impact
28046646,Decos Beheer B.V.,2022,Share Impact
28046646,Decos Beheer B.V.,2024,Share Impact
28054540,Decos Software Engineering B.V.,2021,Share Impact
40532070,DOA dierenasiel,2022,Share Impact
40532070,DOA dierenasiel,2023,Share Impact
40532070,DOA dierenasiel,2024,Share Impact
32108687,Heeyoo B.V.,2023,Share Impact
36000581,Het Grootslag,2022,Share Impact
36000581,Het Grootslag,2023,Share Impact
36000581,Het Grootslag,2024,Share Impact
41149069,Het Nutshuis,2018,Share Impact
41149069,Het Nutshuis,2019,Share Impact
41149069,Het Nutshuis,2022,Share Impact
27148587,Korzo Theater,2022,Share Impact Audit
27148587,Korzo Theater,2023,Share Impact Audit
27163422,Marlink B.V.,2022,Share Impact
27163422,Marlink B.V.,2023,Share Impact
27163422,Marlink B.V.,2025,Share Impact
80416632,MC Computest Holding B.V.,2022,Share Impact
80416632,MC Computest Holding B.V.,2023,Share Impact
80416632,MC Computest Holding B.V.,2024,Share Impact
24383120,Merzario International B.V.,2020,Share Impact
24383120,Merzario International B.V.,2023,Share Impact
34263969,Motek Medical B.V.,2024,Share Impact
61722901,Motekforce Link B.V.,2024,Share Impact
41160112,Museon,2024,Share Impact
41198970,Nederlands Philharmonisch Orkest,2024,Share Impact
27231868,Preuninger Holding B.V.,2018,Share Impact
27231868,Preuninger Holding B.V.,2019,Share Impact
27231868,Preuninger Holding B.V.,2020,Share Impact
41169522,Rijksmuseum van Oudheden,2021,Share Impact
41169522,Rijksmuseum van Oudheden,2022,Share Impact
41169522,Rijksmuseum van Oudheden,2023,Share Impact
27212730,Rondom Wonen,2022,Share Impact
24132245,SFI Rotterdam B.V.,2021,Share Impact
88772896,SIDN,2024,Share Impact
40341418,Stichting Erasmus Trustfonds (SET),2025,Share Impact
34344704,Stichting Festival Classique in liquidatie,2024,Share Impact
41149296,Stichting Fonds Gehandicaptensport,2022,Share Impact
41149296,Stichting Fonds Gehandicaptensport,2023,Share Impact
41149296,Stichting Fonds Gehandicaptensport,2024,Share Impact
41149296,Stichting Fonds Gehandicaptensport,2025,Share Impact
72725524,Stichting Hanarth Fonds,2018,Share Impact
72725524,Stichting Hanarth Fonds,2022,Share Impact
28095148,Stichting Hazelhoff Van Huet,2018,Share Impact
28095148,Stichting Hazelhoff Van Huet,2019,Share Impact
28095148,Stichting Hazelhoff Van Huet,2022,Share Impact
30147557,Stichting Het Jane Goodall Instituut,2020,Share Impact
41160081,Stichting Het Nationale Theater,2022,Share Impact
41160081,Stichting Het Nationale Theater,2023,Share Impact
41160081,Stichting Het Nationale Theater,2024,Share Impact
41160081,Stichting Het Nationale Theater,2025,Share Impact
41152170,Stichting het Residentie Orkest,2020,Share Impact
41152170,Stichting het Residentie Orkest,2022,Share Impact
41152170,Stichting het Residentie Orkest,2023,Share Impact
41152170,Stichting het Residentie Orkest,2024,Share Impact
41128382,Stichting International Film Festival Rotterdam / IFFR / International Film Festival Rotterdam / Filmfestival Rotterdam,2025,Share Impact
41215724,Stichting Internet Domeinregistratie Nederland,2022,Share Impact
41215724,Stichting Internet Domeinregistratie Nederland,2024,Share Impact
40409239,Stichting Koninklijke Hondenbescherming,2022,Share Impact
