kvk,naam,boekjaar,accountant,sbi,plaats
20151818,Vlamings Agro Groep B.V.,2017,Van Oers,6612,
20132331,ATL Renting B.V.,2017,Van Oers,77111,
20037028,Handelsonderneming Vlamings B.V.,2017,Van Oers,46752,
24474619,Dr. Falk Pharma Benelux B.V.,2017,Van Oers,46461,
54094127,Brand Masters B.V.,2016,Van Oers,46901,
24402390,Tommie Tom Beheer B.V.,2016,Van Oers,6420,
24237526,Mediterranean Shipping Company (Nederland) B.V.,2016,Van Oers,50201,
59985704,Optimum Group B.V.,2016,Van Oers,6420,
23026894,Bayards B.V.,2017,Van Oers,6420,
52176878,Nextpayroll B.V.,2017,Van Oers Audit,7830,
64665127,Huit Holding B.V.,2016,Van Oers,6420,
20039942,Jan de Rijk N.V.,2015,Van Oers,6420,
20040972,Aartsenfruit Breda B.V.,2016,Van Oers,46311,
53989791,Digrom Immo Zundert B.V.,2016,Van Oers,68204,
20096187,Renova Automotive Group B.V.,2020,Van Oers,6420,
41102967,Stichting Katholiek Onderwijs Ginneken,2022,Van Oers,85201,
41103271,Stichting Vriendenkring Nederland,2017,VAN OERS,88999,
41103271,Stichting Vriendenkring Nederland,2016,VAN OERS,88999,
41103271,Stichting Vriendenkring Nederland,2015,VAN OERS,88999,
41103271,Stichting Vriendenkring Nederland,2022,Van Oers,88999,
22023563,Bouwbedrijf Boogert B.V.,2019,Van Oers,41000,
41103271,Stichting Vriendenkring Nederland,2023,Van Oers,88999,
23075813,Spro N.V.,2019,Van Oers,46496,
23075813,Spro N.V.,2022,Van Oers,46496,
76728315,Aartsen Holding B.V.,2022,Van Oers,64210,
76728315,Aartsen Holding B.V.,2023,Van Oers,64210,
76728315,Aartsen Holding B.V.,2024,Van Oers,64210,
82087202,IEO Holding B.V.,2021,Van Oers,64210,
82087202,IEO Holding B.V.,2022,Van Oers,64210,
58248013,Van Kooten Tuin en Buiten Leven International B.V.,2020,Van Oers,64210,
58248013,Van Kooten Tuin en Buiten Leven International B.V.,2021,Van Oers,64210,
58248013,Van Kooten Tuin en Buiten Leven International B.V.,2022,Van Oers,64210,
74710729,TTM Invest B.V.,2019,Van Oers,64210,
23047288,Bayards Helidecks B.V.,2022,Van Oers,25110,
67549306,Maxifloor Holding B.V.,2019,Van Oers,64210,
20113021,Mark Hofkens Beheer B.V.,2023,Van Oers,64210,
17070651,Medis Holding B.V.,2020,Van Oers,64210,
17070651,Medis Holding B.V.,2021,Van Oers,64210,
17070651,Medis Holding B.V.,2022,Van Oers,64210,
20032594,Kompak Nederland B.V.,2018,Van Oers,82920,
63634392,Concrete Valley Group B.V.,2024,Van Oers,64210,
20039942,Jan de Rijk N.V.,2018,Van Oers,64210,
20039942,Jan de Rijk N.V.,2019,Van Oers,64210,
20039942,Jan de Rijk N.V.,2020,Van Oers,64210,
20039942,Jan de Rijk N.V.,2022,Van Oers,64210,
20039942,Jan de Rijk N.V.,2024,Van Oers,64210,
20133204,André van Peer Holding B.V.,2023,Van Oers,64210,
20133204,André van Peer Holding B.V.,2024,Van Oers,64210,
52838226,Apothekersgroep Breda B.V.,2019,Van Oers,47730,
52838226,Apothekersgroep Breda B.V.,2020,Van Oers,47730,
52838226,Apothekersgroep Breda B.V.,2021,Van Oers,47730,
28106965,Gallo B.V.,2019,Van Oers,64320,
20047273,Millend Holding B.V.,2019,Van Oers,64210,
