kvk,naam,boekjaar,accountant,sbi,plaats
41190632,"""Stichting Corantijn""",2018,Verstegen,94993,
41190632,"""Stichting Corantijn""",2019,Verstegen,94993,
41190632,"""Stichting Corantijn""",2020,Verstegen,94993,
41190632,"""Stichting Corantijn""",2021,Verstegen,94993,
41190632,"""Stichting Corantijn""",2022,Verstegen,94993,
41190632,"""Stichting Corantijn""",2023,Verstegen,94993,
41199892,'t Huis aan de Poel / Thuiszorg Brentano Amstelveen,2019,Verstegen,87100,
41199892,'t Huis aan de Poel / Thuiszorg Brentano Amstelveen,2020,Verstegen,87100,
41199892,'t Huis aan de Poel / Thuiszorg Brentano Amstelveen,2022,Verstegen,87100,
41199892,'t Huis aan de Poel / Thuiszorg Brentano Amstelveen,2023,Verstegen,87100,
41199892,'t Huis aan de Poel / Thuiszorg Brentano Amstelveen,2024,Verstegen,87100,
50024078,'t Huys te Hoecke,2024,Verstegen,87302,
50024078,'t Huys te Hoecke,2025,Verstegen,87302,
24384577,(administratie) Leergeld Drechtsteden,2023,Verstegen,69209,
81059884,A&A Thuiszorg,2022,Verstegen,86942,
81059884,A&A Thuiszorg,2023,Verstegen,86942,
81059884,A&A Thuiszorg,2024,Verstegen,86942,
81059884,A&A Thuiszorg,2025,Verstegen,86942,
32061641,AA-Groep B.V.,2018,Verstegen,64210,
32061641,AA-Groep B.V.,2020,Verstegen,64210,
32061641,AA-Groep B.V.,2021,Verstegen,64210,
32061641,AA-Groep B.V.,2022,Verstegen,64210,
32061641,AA-Groep B.V.,2023,Verstegen,64210,
32061641,AA-Groep B.V.,2024,Verstegen,64210,
24476508,Aafje Hulpthuis,2021,Verstegen,86942,
23061039,Aannemersbedrijf Wallaard Noordeloos B.V.,2018,Verstegen,42110,
23061039,Aannemersbedrijf Wallaard Noordeloos B.V.,2022,Verstegen,42110,
23061039,Aannemersbedrijf Wallaard Noordeloos B.V.,2023,Verstegen,42110,
23061039,Aannemersbedrijf Wallaard Noordeloos B.V.,2024,Verstegen,42110,
28033841,Aannemingsbedrijf Schouls B.V.,2025,Verstegen,39001,
30158002,AC groep,2020,Verstegen,87302,
41180026,"Accolade Zorg, locatie De Wijngaard",2023,Verstegen,87100,
41180026,"Accolade Zorg, locatie De Wijngaard",2024,Verstegen,87100,
41180026,"Accolade Zorg, locatie De Wijngaard",2025,Verstegen,87100,
17182710,Actief Holding B.V.,2023,Verstegen,66120,
18083920,Actief HuisZorg B.V.,2022,Verstegen,86942,
18083920,Actief HuisZorg B.V.,2023,Verstegen,86942,
18083920,Actief HuisZorg B.V.,2024,Verstegen,86942,
18073585,Actief Zorg,2022,Verstegen,86942,
18073585,Actief Zorg,2023,Verstegen,86942,
