kvk,naam,boekjaar,accountant,sbi,plaats
23091032,'De Giessen' Kantoorautomatisering B.V.,2017,Visser & Visser,6202,
09047262,'t Wencop Holding B.V.,2017,Visser & Visser,6420,
09047262,'t Wencop Holding B.V.,2018,Visser & Visser,64210,
09047262,'t Wencop Holding B.V.,2019,Visser & Visser,64210,
09047262,'t Wencop Holding B.V.,2021,Visser & Visser,64210,
09047262,'t Wencop Holding B.V.,2022,Visser & Visser,64210,
09047262,'t Wencop Holding B.V.,2023,Visser & Visser,64210,
09047262,'t Wencop Holding B.V.,2024,Visser & Visser,64210,
09047262,'t Wencop Holding B.V.,2025,Visser & Visser,64210,
30225996,2 Getthere Holding B.V.,2020,Visser & Visser,64210,
30225996,2 Getthere Holding B.V.,2021,Visser & Visser,64210,
30225996,2 Getthere Holding B.V.,2022,Visser & Visser,64210,
30225996,2 Getthere Holding B.V.,2023,Visser & Visser,64210,
30225996,2 Getthere Holding B.V.,2024,Visser & Visser,64210,
28039248,A.J. Jongeneel en Zonen Transport B.V.,2017,Visser & Visser,4941,
28039248,A.J. Jongeneel en Zonen Transport B.V.,2018,Visser & Visser,49410,
28039248,A.J. Jongeneel en Zonen Transport B.V.,2019,Visser & Visser,49410,
28039248,A.J. Jongeneel en Zonen Transport B.V.,2021,Visser & Visser,49410,
28039248,A.J. Jongeneel en Zonen Transport B.V.,2022,Visser & Visser,49410,
28039248,A.J. Jongeneel en Zonen Transport B.V.,2023,Visser & Visser,49410,
28039248,A.J. Jongeneel en Zonen Transport B.V.,2024,Visser & Visser,49410,
18085313,A.P.H. de Groot Beheer B.V.,2020,Visser & Visser,70102,
18085313,A.P.H. de Groot Beheer B.V.,2021,Visser & Visser,70102,
18085313,A.P.H. de Groot Beheer B.V.,2022,Visser & Visser,70102,
18085313,A.P.H. de Groot Beheer B.V.,2023,Visser & Visser,70102,
18085313,A.P.H. de Groot Beheer B.V.,2024,Visser & Visser,70102,
24329606,A3 Kleinjan Beheer B.V.,2017,Visser & Visser,6420,
24329606,A3 Kleinjan Beheer B.V.,2019,Visser & Visser,64210,
24329606,A3 Kleinjan Beheer B.V.,2021,Visser & Visser,64210,
24329606,A3 Kleinjan Beheer B.V.,2022,Visser & Visser,64210,
24329606,A3 Kleinjan Beheer B.V.,2023,Visser & Visser,64210,
24329606,A3 Kleinjan Beheer B.V.,2024,Visser & Visser,64210,
17197868,aaff Groep B.V.,2024,Visser & Visser,70201,
24327067,Aannemersbedrijf A. van Alphen B.V.,2022,Visser & Visser,41000,
24327067,Aannemersbedrijf A. van Alphen B.V.,2023,Visser & Visser,41000,
24327067,Aannemersbedrijf A. van Alphen B.V.,2024,Visser & Visser,41000,
18053764,ABAB Groep B.V.,2017,Visser & Visser,69202,
18053764,ABAB Groep B.V.,2018,Visser & Visser,,
18053764,ABAB Groep B.V.,2019,Visser & Visser,,
18053764,ABAB Groep B.V.,2020,Visser & Visser,,
18053764,ABAB Groep B.V.,2021,Visser & Visser,,
18053764,ABAB Groep B.V.,2022,Visser & Visser,,
18053764,ABAB Groep B.V.,2023,Visser & Visser,,
27343208,Act-3D B.V.,2023,Visser & Visser,62200,
28081845,Act-3D Holding B.V.,2023,Visser & Visser,64210,
24150286,ADDASTA Holding B.V.,2020,Visser & Visser,64210,
24150286,ADDASTA Holding B.V.,2021,Visser & Visser,64210,
24150286,ADDASTA Holding B.V.,2022,Visser & Visser,64210,
24150286,ADDASTA Holding B.V.,2023,Visser & Visser,64210,
24150286,ADDASTA Holding B.V.,2024,Visser & Visser,64210,
73336408,Adenes Nederland B.V.,2021,Visser & Visser,66210,
73336408,Adenes Nederland B.V.,2022,Visser & Visser,66210,
73336408,Adenes Nederland B.V.,2023,Visser & Visser,66210,
73336408,Adenes Nederland B.V.,2024,Visser & Visser,66210,
73336408,Adenes Nederland B.V.,2025,Visser & Visser,66210,
09050935,Afvalverwerking Vink B.V.,2017,Visser & Visser,3821,
09050935,Afvalverwerking Vink B.V.,2018,Visser & Visser,38320,
09050935,Afvalverwerking Vink B.V.,2019,Visser & Visser,38320,
09050935,Afvalverwerking Vink B.V.,2020,Visser & Visser,38320,
23046086,Aggreko Nederland B.V.,2022,Visser & Visser,77390,
55291732,"Agro ""de Arend"" B.V.",2023,Visser & Visser,47761,
11041978,Agro Buren B.V.,2023,Visser & Visser,01610,
11041978,Agro Buren B.V.,2024,Visser & Visser,01610,
35015335,Albert Keijzer B.V.,2025,Visser & Visser,49410,
23052790,Alblas Internationaal Transport B.V.,2019,Visser & Visser,49410,
23052790,Alblas Internationaal Transport B.V.,2020,Visser & Visser,49410,
23052790,Alblas Internationaal Transport B.V.,2021,Visser & Visser,49410,
23052790,Alblas Internationaal Transport B.V.,2023,Visser & Visser,49410,
23052790,Alblas Internationaal Transport B.V.,2024,Visser & Visser,49410,
71904905,Aldowa Group B.V.,2018,Visser & Visser,70201,
71904905,Aldowa Group B.V.,2019,Visser & Visser,70201,
71904905,Aldowa Group B.V.,2020,Visser & Visser,70201,
71904905,Aldowa Group B.V.,2021,Visser & Visser,70201,
71904905,Aldowa Group B.V.,2022,Visser & Visser,70201,
71904905,Aldowa Group B.V.,2023,Visser & Visser,70201,
71904905,Aldowa Group B.V.,2024,Visser & Visser,70201,
71904905,Aldowa Group B.V.,2025,Visser & Visser,70201,
33133450,Allerzorg B.V.,2017,Visser & Visser,88101,
33133450,Allerzorg B.V.,2018,Visser & Visser,88101,
32146368,Allerzorg Beheer B.V.,2017,Visser & Visser,6420,
32146368,Allerzorg Beheer B.V.,2019,Visser & Visser,,
32146368,Allerzorg Beheer B.V.,2020,Visser & Visser,,
24342267,Alphacomm B.V.,2024,Visser & Visser,46500,
56340354,Amega Groep B.V.,2018,Visser & Visser,6420,
56340354,Amega Groep B.V.,2019,Visser & Visser,64210,
56340354,Amega Groep B.V.,2020,Visser & Visser,64210,
56340354,Amega Groep B.V.,2021,Visser & Visser,64210,
56340354,Amega Groep B.V.,2022,Visser & Visser,64210,
56340354,Amega Groep B.V.,2023,Visser & Visser,64210,
56340354,Amega Groep B.V.,2024,Visser & Visser,64210,
56340354,Amega Groep B.V.,2025,Visser & Visser,64210,
76522334,AMET Groep B.V.,2020,Visser & Visser,64210,
76522334,AMET Groep B.V.,2022,Visser & Visser,64210,
76522334,AMET Groep B.V.,2023,Visser & Visser,64210,
76522334,AMET Groep B.V.,2024,Visser & Visser,64210,
11064224,Anna van Toor Holding B.V.,2022,Visser & Visser,64210,
11064224,Anna van Toor Holding B.V.,2023,Visser & Visser,64210,
11064224,Anna van Toor Holding B.V.,2024,Visser & Visser,64210,
78465222,Apotheek Middelland B.V.,2022,Visser & Visser,47730,
78465222,Apotheek Middelland B.V.,2024,Visser & Visser,47730,
08067721,Arma Keukens & Sanitair B.V.,2021,Visser & Visser,47554,
08067721,Arma Keukens & Sanitair B.V.,2022,Visser & Visser,47554,
08067721,Arma Keukens & Sanitair B.V.,2023,Visser & Visser,47554,
08067721,Arma Keukens & Sanitair B.V.,2024,Visser & Visser,47554,
24448256,Arrebouw B.V.,2020,Visser & Visser,64210,
24448256,Arrebouw B.V.,2022,Visser & Visser,64210,
65066723,ASB bouw en ontwikkeling,2025,Visser & Visser,41000,
23091032,Aspect ICT B.V.,2018,Visser & Visser,62200,
23091032,Aspect ICT B.V.,2019,Visser & Visser,62200,
23091032,Aspect ICT B.V.,2020,Visser & Visser,62200,
23091032,Aspect ICT B.V.,2021,Visser & Visser,62200,
23091032,Aspect ICT B.V.,2022,Visser & Visser,62200,
23091032,Aspect ICT B.V.,2023,Visser & Visser,62200,
23091032,Aspect ICT B.V.,2024,Visser & Visser,62200,
23091032,Aspect ICT B.V.,2025,Visser & Visser,62200,
