kvk,naam,plaats,boekjaar,kantoor,afm_nummer,oordeel
58877738,"""Gezellig Stralen""",Boekel,2023,KRC Van Elderen Registeraccountants B.V.,13000113,goedkeurend
41055319,"""Stichting LuciVer"", stichting voor welzijn, wonen en zorg.",Wijchen,2023,BDO Audit & Assurance B.V.,13000311,goedkeurend
57486727,ADHDcentraal B.V.,Utrecht,2023,Brouwers Audit B.V.,13000344,goedkeurend
34362777,Academisch Medisch Centrum,Amsterdam,2023,PricewaterhouseCoopers Accountants N.V.,13000291,goedkeurend
01169570,Academisch Ziekenhuis Groningen,Groningen,2023,KPMG Accountants N.V.,13000121,goedkeurend
27366422,Academisch Ziekenhuis Leiden,Leiden,2023,KPMG Accountants N.V.,13000121,goedkeurend
14124959,Academisch Ziekenhuis Maastricht,Maastricht,2023,PricewaterhouseCoopers Accountants N.V.,13000291,goedkeurend
18073585,Actief Zorg B.V.,Waalwijk,2023,Verstegen accountants en adviseurs B.V.,13000147,beperking
22063723,Admiraal De Ruyter Ziekenhuis B.V.,Goes,2023,PricewaterhouseCoopers Accountants N.V.,13000291,goedkeurend
27272512,Amarosa,Wassenaar,2023,Verstegen accountants en adviseurs B.V.,13000147,goedkeurend
55869319,Amethist Verslavingszorg Flevoland,Almere,2023,Deloitte Accountants B.V.,13000015,goedkeurend
69742049,Antes Zorg B.V.,Poortugaal,2023,KPMG Accountants N.V.,13000121,goedkeurend
75158418,Apollis Zorg B.V.,Nijmegen,2023,BGH Accountants B.V.,13000276,goedkeurend
17163424,Autismebegeleiding.nl B.V.,Helmond,2023,SmitsVandenBroek Accountants B.V.,13020045,goedkeurend
54135079,B.V. Vicino Noord-Holland Noord,Alkmaar,2023,Verstegen accountants en adviseurs B.V.,13000147,goedkeurend
65915380,Bandu B.V.,Zoetermeer,2023,Signature Audit + Advisory B.V.,13020108,goedkeurend
30160566,Bergman Medical Care B.V.,Naarden,2023,PricewaterhouseCoopers Accountants N.V.,13000291,beperking
17120496,Bernhoven B.V.,Uden,2023,EY Accountants B.V.,13020186,goedkeurend
01123419,Bestuursstichting Lentis,Zuidlaren,2023,EY Accountants B.V.,13020186,beperking
86851144,Bijster Care B.V.,Nuenen,2023,Rubicon Registeraccountants B.V.,13000098,goedkeurend
52684717,Boba Zorg B.V.,Dordrecht,2023,Accountants voor de Gezondheidszorg B.V.,13020048,beperking
86533851,Bocah donya B.V.,Schagen,2023,Bentacera Registeraccountants B.V.,13000492,goedkeurend
69592217,DIT coaching B.V.,Nijmegen,2023,Kreston Van Herwijnen Accountants B.V.,13000490,13000490,productieverantwoording,goedkeurend,,
