kvk,naam,plaats,boekjaar,kantoor,kantoor_sleutel,afm_nummer,type_opdracht,oordeel,grond_beperking,continuiteitsonzekerheid,tekenend_accountant
33301953,Stichting Kuria Zorg,Amsterdam,2025,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,,
90875079,Oog voor Thuis Jeugd- en Gezinsteams Alphen aan den Rijn B.V.,Alphen aan den Rijn,2025,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,,
01110183,KraamZus B.V.,Joure,2025,Stichting Audit Only,13000655,13000655,wettelijke_controle,beperking,wnt,,
01124396,De Kraamvogel Nederland B.V.,Joure,2025,Stichting Audit Only,13000655,13000655,wettelijke_controle,beperking,wnt,,
73150045,Unilabs Eerstelijnsdiagnostiek B.V.,Amsterdam,2025,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,,
34377971,Veiligheidsregio Kennemerland,Haarlem,2025,Publieke Sector Accountants B.V.,13020074,13020074,wettelijke_controle,goedkeurend,,,
28099512,Huisartsenposten De LIMES B.V.,Leiderdorp,2025,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,,
60814195,Ceban Ziekenhuisfarmacie B.V.,Oostrum,2025,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,,
30100650,Stichting De Hoogstraat Orthopedietechniek,Utrecht,2025,EY Accountants B.V.,13020186,13020186,wettelijke_controle,beperking,wnt,ja,
41149113,Stichting De Hoogstraat Revalidatie,Utrecht,2025,EY Accountants B.V.,13020186,13020186,wettelijke_controle,goedkeurend,,ja,drs. M.J. Poelen RA
78473586,Stichting Jeugdspecialisten Amsterdam,Amsterdam,2025,Baker Tilly (Netherlands) B.V.,13000741,13000741,wettelijke_controle,goedkeurend,,,drs. G.J.P. den Brok RA
06084000,Max Ernst B.V.,Arnhem,2025,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,beperking,wnt,,drs. M.E. Bitter RA
06063669,Jan Arends B.V.,Zwolle,2025,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,beperking,wnt,,drs. M.E. Bitter RA
41067977,Stichting Bureau Jeugdzorg Limburg,Roermond,2025,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,,
62069349,Coöperatief Medisch Specialistisch Bedrijf Sint Antonius Ziekenhuis U.A.,Nieuwegein,2025,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,,
62276441,Coöperatief medisch specialisten ASz U.A.,Dordrecht,2025,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,,
