afm_nummer,naam,rechtsvorm,plaats,oob_vergunning,vergunning_sinds,website,status
13000003,"Hordijk, Kok, Laan & Wabeke, registeraccountants B.V.",Besloten Vennootschap,Everdingen,nee,2008-09-29,,Verleend
13000007,Finchtree B.V.,Besloten Vennootschap,Vlaardingen,nee,2008-09-29,www.borsboomacc.nl,Verleend
13000009,Borrie Audit B.V.,Besloten Vennootschap,Rotterdam,nee,2008-09-29,www.borrie.nl,Verleend
13000010,Joanknecht Assurance B.V.,Besloten Vennootschap,Eindhoven,nee,2008-09-29,https://www.joanknecht.nl,Verleend
13000015,Deloitte Accountants B.V.,Besloten Vennootschap,Rotterdam,ja,2007-09-27,http://www.deloitte.com,Verleend
13000017,Accountantskantoor en Belastingadviesbureau Eenkhoorn & Bakker,Vennootschap onder firma,Genemuiden,nee,2008-09-29,https://www.eb-accountants.nl,Verleend
13000019,"Hermans & Partners B.V., accountants en adviseurs",Besloten Vennootschap,Mijnsheerenland,nee,2008-09-29,,Verleend
13000027,Newtone Audit N.V.,Naamloze Vennootschap,Rosmalen,nee,2008-09-29,https://www.newtone.nl,Verleend
13000043,De Meerse Accountants Associatie B.V.,Besloten Vennootschap,Aalsmeer,nee,2008-09-29,https://www.meerse.nl,Verleend
13000044,Dubois & Co. Registeraccountants,Maatschap,Amsterdam,nee,2008-09-29,https://www.dubois.nl,Verleend
13000046,Vigilate Accountants B.V.,Besloten Vennootschap,Capelle aan den IJssel,nee,2008-09-29,www.vigilate.nl,Verleend
13000053,Driebergen Accountants,Maatschap,Rijnsburg,nee,2008-09-29,https://www.driebergenaccountants.nl,Verleend
13000054,Bol Accountants B.V.,Besloten Vennootschap,Boxmeer,nee,2008-09-29,https://www.boladviseurs.nl/,Verleend
13000055,Maatschap Steens & Partners Accountants en Adviseurs,Maatschap,Rotterdam,nee,2008-09-29,https://www.steensenpartners.nl,Verleend
13000063,Maatschap Adbeco Accountants,Maatschap,Emmen,nee,2008-09-29,https://www.adbeco.com,Verleend
13000073,FACET Audit B.V.,Besloten Vennootschap,Capelle aan den IJssel,nee,2008-09-29,,Verleend
13000084,Vermetten Audit B.V.,Besloten Vennootschap,Tilburg,nee,2008-09-29,https://www.vermetten.nl,Verleend
13000090,RSM Netherlands Accountants N.V.,Naamloze Vennootschap,Hoofddorp,nee,2008-09-29,http://www.rsm.global/netherlands/nl,Verleend
