sleutel,naam,alias,plaats,website,kvk_nummer,wta_vervallen,toelichting,gevonden_bij
overig_with_accountants,WITh Accountants B.V.,WITh accountants,Amersfoort,https://www.with.nl,,,niet in het AFM-register (stand 29-7-2026); gespecialiseerd in goede doelen en tekent daar de meeste verklaringen — 47 van de 295 jaarverslagen in de oogst van boekjaar 2024,"CBF-oogst boekjaar 2024, o.a. 100WEEKS, Bible League, SeeYou, Leprazending, MIND"
overig_verax_accountants,Verax Accountants B.V.,,,,,,niet in het AFM-register (stand 29-7-2026),"CBF-oogst boekjaar 2024, Jeugd met een Opdracht"
overig_maas_accountants,Maas Accountants B.V.,,,,,,niet in het AFM-register (stand 29-7-2026),"CBF-oogst boekjaar 2024, Stichting van het Kind"
overig_de_zorgaccountants,De ZorgAccountants B.V.,de Zorg Accountants,,https://www.dezorgaccountants.nl,,,"niet in het AFM-register (stand 29-7-2026); kwam eerder al voorbij bij WNT- en productieverantwoordingen in de zorg (adapters/digimv.md). De alias is de gespatieerde schrijfwijze uit de zorgverklaringen zelf; het briefhoofd daar noemt www.dezorgaccountants.nl, dus het is aantoonbaar hetzelfde kantoor","CBF-oogst boekjaar 2024, Fietsersbond; zorgoogst 2019, 14 verklaringbestanden als ""de Zorg Accountants"""
overig_san_q_accountants,San-Q Accountants B.V.,San-Q Accountants,,,,,niet in het AFM-register (stand 29-7-2026),CBF-oogst boekjaar 2024
overig_phidra_accountancy,Phidra Accountancy B.V.,,,,,,niet in het AFM-register (stand 29-7-2026),CBF-oogst boekjaar 2024
overig_hk_accountants,HK Accountants B.V.,,,,,,niet in het AFM-register (stand 29-7-2026),CBF-oogst boekjaar 2024
overig_astrium_overheidsaccountants,Astrium Overheidsaccountants B.V.,Astrium Accountants B.V.;Astrium Overheidsaccountants,Zoetermeer,,,"vergunning vervallen door de juridische fusie met Flynth Audit B.V. (13000519), per 1-9-2022","niet in het AFM-register (stand 5-8-2026); opgericht in 2012 door oud-Deloitte-accountants, gespecialiseerd in gemeenten, en per 1-9-2022 opgegaan in Flynth Audit B.V. — de gunningen eronder dateren van vóór die fusie","TED-gunningen 2016-2022, o.a. 21 aanbestedingen van gemeenten en gemeenschappelijke regelingen"
overig_ipa_acon_assurance,Ipa-Acon Assurance B.V.,Ipa-Acon Assurance;IPA-ACON;Acon Assurance,,,,,"niet in het AFM-register (stand 5-8-2026); onderdeel van ETL Nederland en van oorsprong de provinciale accountantsdienst van Noord-Holland, met een controlepraktijk bij gemeenten","TED-gunningen, o.a. 5 aanbestedingen van gemeenten"
overig_hofsteenge_zeeman,Hofsteenge Zeeman Groep,Hofsteenge Zeeman,,,,,niet in het AFM-register (stand 5-8-2026); in 2012 opgericht door twee oud-Deloitte-accountants en controleerde over 2016 de jaarrekening van 22 gemeenten,"TED-gunningen, o.a. 7 aanbestedingen van gemeenten"
overig_fb_assurance,FB Assurance B.V.,FB Assurance BV;FB Assurance,Burgum,,,,"niet in het AFM-register (stand 5-8-2026); tekent productieverantwoordingen in de zorg, waarvoor geen Wta-vergunning nodig is","DigiMV-archief boekjaar 2023, o.a. PraktijkvdZwaag (KvK 08094043), 6 vindplaatsen"
overig_monteba_accountants,Monteba Accountants en Adviseurs,Monteba Accountants,Waardenburg,,,,niet in het AFM-register (stand 5-8-2026); tekent productieverantwoordingen in de zorg,"DigiMV-archief boekjaar 2023, o.a. Familiepraktijk Martine te Tiel (KvK 73770442), 4 vindplaatsen"
overig_aw_accountants,AW Accountants & Adviseurs,AW Accountants;AW Accountants Adviseurs,Brummen,,,,niet in het AFM-register (stand 5-8-2026); schrijft zichzelf met een opsommingsteken tussen de twee woorden (AW Accountants•Adviseurs) en tekent productieverantwoordingen in de zorg,"DigiMV-archief boekjaar 2023, o.a. IJsselzorg B.V. te Zutphen (KvK 08205156), 3 vindplaatsen"
overig_cas_zorgaccountants,CAS ZorgAccountants B.V.,CAS ZorgAccountants,,,,,niet in het AFM-register (stand 5-8-2026); tekent productieverantwoordingen in de zorg,"DigiMV-archief boekjaar 2023, o.a. Stichting ASSortiMens te Oldenzaal (KvK 57100616)"
overig_hilgers_accountants,Hilgers Accountants B.V.,Hilgers Accountants,Purmerend,,,,niet in het AFM-register (stand 5-8-2026); tekent realisatie- en productieverantwoordingen in de zorg,"DigiMV-archief boekjaar 2023, o.a. Stichting Zorgzaken te Purmerend (KvK 76080501)"
overig_miedema_accountants,Miedema Accountants,,,,,,niet in het AFM-register (stand 5-8-2026); tekent productieverantwoordingen in de zorg,"DigiMV-archief boekjaar 2023, o.a. 't Hummelhûs Zorg op Maat B.V. te Oudehorne (KvK 86735373)"
overig_fsv_accountants,FSV Accountants + Adviseurs B.V.,FSV Accountants + Adviseurs;FSV Accountants,Zaltbommel,https://www.fsv.nl,,,"niet in het AFM-register (stand 5-8-2026); controleert gemeenten en gemeenschappelijke regelingen, waarvoor geen Wta-vergunning nodig is. Het briefpapier onder de verklaringen noemt Hogeweg 43, 5300 AC Zaltbommel","raadsinformatie-oogst 5-8-2026, o.a. Regio Rivierenland, Omgevingsdienst Rivierenland, Regionaal Archief Rivierenland, UBRivierenland en AVRI (boekjaren 2018-2023)"
overig_unp_accountants,UNP accountants adviseurs B.V.,UNP accountants adviseurs,Breda,https://www.unp.nl,,,"niet in het AFM-register (stand 5-8-2026); controleert gemeenschappelijke regelingen en (semi)publieke instellingen. Het briefpapier onder de verklaringen noemt Cosunpark 10, Breda","raadsinformatie-oogst 5-8-2026, o.a. Chassé Theater Beheer N.V., Stichting Theek 5, Regionaal Bureau Leerplicht West-Brabant en GR Nazorg gesloten stortplaatsen (boekjaren 2015-2019)"
overig_acam_amsterdam,ACAM Accountancy en Advies,Auditdienst ACAM,Amsterdam,,,,"de eigen accountantsdienst van de gemeente Amsterdam; tekende de controles van de gemeente, de stadsdelen en de diensten en is niet in het AFM-register te vinden (stand 5-8-2026). Tekent afwisselend als 'ACAM Accountancy en Advies' en 'Auditdienst ACAM'","raadsinformatie-oogst 5-8-2026, o.a. jaarrekening 2010 van de gemeente Amsterdam, zeven stadsdelen en meerdere diensten (boekjaren 2010-2013)"
overig_gao_den_haag,Gemeentelijke Accountantsorganisatie Den Haag,Gemeentelijke Accountantsdienst Den Haag,Den Haag,https://www.denhaag.nl/nl/gemeentelijke-organisatie/gemeentelijke-accountantsorganisatie-den-haag-gad/,,,"de eigen accountantsorganisatie van de gemeente Den Haag (GAD), voorheen Gemeentelijke Accountantsdienst; controleert de gemeentelijke jaarrekening en aan de gemeente verbonden organisaties; niet in het AFM-register (stand 5-8-2026)","raadsinformatie-oogst 5-8-2026, o.a. de jaarrekeningen van de gemeente Den Haag (boekjaren 2017-2018) en Haagse gemeenschappelijke regelingen"
overig_zirkzee_audit,Zirkzee Audit B.V.,Zirkzee audit,Oegstgeest,https://www.zirkzee.nl,,,"niet (meer) in het AFM-register: de oude registervermelding is verwijderd (details-pagina geeft 404, stand 6-8-2026) en het kantoor staat niet in de export van 5-8-2026. Onderdeel van de Zirkzee Groep (Oegstgeest/Noordwijk)","raadsinformatie-oogst 5-8-2026, 99 vindplaatsen in raadsstukken; daarbuiten o.a. de controleverklaring bij het jaarbericht 2021 van NiNsee"
overig_koenen_en_co,Koenen en Co Audit & Assurance,Koenen en Co,Maastricht,,,,"Zuid-Limburgs kantoor (Maastricht, Roermond, Venlo, Helmond) dat per 15-4-2024 met HLB Witlox Van den Boomen en PKF Wallast is opgegaan in Newtone. Bewust een eigen vermelding en géén alias naar Newtone Audit N.V. (13000027): dat is de doorgenummerde vergunning van een ándere fusiepartner, en verklaringen van vóór de fusie horen niet aan die entiteit te worden toegeschreven. Niet in het AFM-register (stand 5-8-2026)","raadsinformatie-oogst 5-8-2026, 44 vindplaatsen in raadsstukken van Limburgse gemeenten en regelingen"
overig_accon_avm_controlepraktijk,Accon avm Controlepraktijk B.V.,Accon avm Controlepraktijk;Accon-AVM Controlepraktijk B.V.;Accon-AVM Controlepraktijk;Accon AVM;Accon avm;AcconAVM,,https://acconavm.nl,,"vergunning vervallen door de juridische fusie met Flynth Audit B.V. (13000519), afgerond april 2022","niet (meer) in het AFM-register (stand 7-8-2026): de controlepraktijk van accon■avm is per juridische fusie opgegaan in Flynth Audit B.V. (13000519), afgerond in april 2022. Bewust een eigen vermelding en géén alias naar Flynth: de controles hieronder dateren van vóór die fusie en zijn door accon avm zelf getekend, niet door Flynth. Zelfde redenering als bij Astrium en Koenen en Co hierboven. De VTW, de vereniging van toezichthouders in woningcorporaties, noemt Accon AVM op haar overzicht van accountantskantoren in de sector","dVi-jaargangen 2013-2021 (verantwoordingsopgave woningcorporaties), 15 rijen in vier schrijfwijzen; bevestiging van de fusie in Accountancy Vanmorgen 2-9-2022 (""Flynth Audit heeft de juridische fusie met Accon avm Controlepraktijk en met Astrium Accountants, Astrium Onderwijsaccountants en Astrium Overheidsaccountants afgerond"")"
overig_hendriksen_controle,Hendriksen Accountants Controle,Hendriksen Accountants Controle B.V.,Enschede,,,,"niet in het AFM-register (stand 5-8-2026); de controlepraktijk naast Hendriksen Accountants en Adviseurs, dat in dezelfde stukken de samenstellingsverklaringen tekent. Bewust alleen de controle-entiteit opgenomen: de adviestak hoort niet aan een controleopdracht te worden gehangen","DigiMV-archief boekjaar 2023, Zorginstelling Armin B.V. te Enschede (KvK 73498858)"
