naam,boekjaar,url
Technische Universiteit Delft,2015,https://filelist.tudelft.nl/TUDelft/Over_TU_Delft/Feiten_Cijfers/jaarverslagen/jaarverslag-TUDelft-2015.pdf
Technische Universiteit Delft,2016,https://filelist.tudelft.nl/TUDelft/Over_TU_Delft/Feiten_Cijfers/jaarverslagen/jaarverslag-2016.pdf
Technische Universiteit Delft,2017,https://filelist.tudelft.nl/TUDelft/Over_TU_Delft/Feiten_Cijfers/jaarverslagen/Jaarverslag%20TU%20Delft%202017.pdf
Technische Universiteit Delft,2018,https://filelist.tudelft.nl/TUDelft/Over_TU_Delft/Feiten_Cijfers/jaarverslagen/TU%20Delft%20Jaarverslag%202018.pdf
Technische Universiteit Delft,2019,https://filelist.tudelft.nl/TUDelft/Over_TU_Delft/Feiten_Cijfers/jaarverslagen/jaarverslag-tudelft-2019.pdf
Technische Universiteit Delft,2020,https://filelist.tudelft.nl/TUDelft/Over_TU_Delft/Feiten_Cijfers/jaarverslagen/2020%20Jaarverslag%20definitief.pdf
Technische Universiteit Delft,2021,https://filelist.tudelft.nl/TUDelft/Over_TU_Delft/Feiten_Cijfers/jaarverslagen/TUD%20Jaarverslag%202021%20%28web%29.pdf
Technische Universiteit Delft,2022,https://filelist.tudelft.nl/TUDelft/Over_TU_Delft/Feiten_Cijfers/jaarverslagen/TUD%20Jaarverslag%202022%20-%20def.pdf
Technische Universiteit Delft,2023,https://filelist.tudelft.nl/TUDelft/Over_TU_Delft/Feiten_Cijfers/jaarverslagen/Jaarverslag%202023%20NL%20%28web%29_01.pdf
Technische Universiteit Delft,2024,https://filelist.tudelft.nl/TUDelft/Over_TU_Delft/Feiten_Cijfers/jaarverslagen/Jaarverslag%202024%20NL%20TU%20Delft_def.pdf
Technische Universiteit Delft,2025,https://filelist.tudelft.nl/TUDelft/Over_TU_Delft/Feiten_Cijfers/jaarverslagen/TU%20Delft%20Jaarverslag%202025_def.pdf
Universiteit Utrecht,2018,https://www.uu.nl/sites/default/files/uu-jaarverslag-2018-1207192.pdf
Universiteit Utrecht,2019,https://www.uu.nl/sites/default/files/UU-Jaarverslag-2019-web.pdf
Universiteit Utrecht,2020,https://www.uu.nl/sites/default/files/UU-Jaarverslag-2020-NL.pdf
Universiteit Utrecht,2021,https://www.uu.nl/sites/default/files/UU-Jaarverslag-2021-NL.pdf
Universiteit Utrecht,2022,https://www.uu.nl/sites/default/files/UU-Jaarverslag-2022-NL.pdf
Universiteit Utrecht,2023,https://www.uu.nl/sites/default/files/UU-Jaarverslag-2023-NL.pdf
Universiteit Utrecht,2024,https://www.uu.nl/sites/default/files/UU-Jaarverslag-2024%20NL-v5.pdf
Universiteit Utrecht,2025,https://www.uu.nl/sites/default/files/UU-Jaarverslag-2025-NL.pdf
Rijksuniversiteit Groningen,2018,https://www.rug.nl/about-ug/profile/facts-and-figures/jaarverslagen-pdf/rug-bestuursverslag2018-v9-definitief.pdf
Rijksuniversiteit Groningen,2019,https://www.rug.nl/about-ug/profile/facts-and-figures/jaarverslagen-pdf/rug-jaarverslag2019-8-4-21.pdf
Rijksuniversiteit Groningen,2020,https://www.rug.nl/about-ug/profile/facts-and-figures/jaarverslagen-pdf/rug-jaarverslag-2020.pdf
Rijksuniversiteit Groningen,2021,https://www.rug.nl/about-ug/profile/facts-and-figures/jaarverslagen-pdf/rug-jaarverslag-2021-v5.pdf
Rijksuniversiteit Groningen,2022,https://www.rug.nl/about-ug/profile/facts-and-figures/jaarverslagen-pdf/rug-jaarverslag-2022-klaar.pdf
Rijksuniversiteit Groningen,2023,https://www.rug.nl/about-ug/profile/facts-and-figures/jaarverslagen-pdf/rug-jaarverslag-2023-ned.pdf
Rijksuniversiteit Groningen,2024,https://www.rug.nl/about-ug/profile/facts-and-figures/rug-jaarverslag2024-def.pdf
Rijksuniversiteit Groningen,2025,https://www.rug.nl/about-ug/profile/facts-and-figures/jaarverslagen-pdf/rug-jaarverslag2025-v9.pdf
Technische Universiteit Eindhoven,2015,https://assets.w3.tue.nl/w/fileadmin/content/universiteit/publicaties/Jaarverslagen/TUE%20Jaarverslag%202015.pdf
Technische Universiteit Eindhoven,2016,https://assets.w3.tue.nl/w/fileadmin/content/universiteit/publicaties/Jaarverslagen/TUE%20Jaarverslag%202016.pdf
Technische Universiteit Eindhoven,2017,https://assets.w3.tue.nl/w/fileadmin/content/universiteit/publicaties/Jaarverslagen/Jaarverslag2017_20180628_goedgekeurd.pdf
Technische Universiteit Eindhoven,2018,https://assets.w3.tue.nl/w/fileadmin/Jaarverslag2018_20190515_versie7.pdf
Technische Universiteit Eindhoven,2019,https://assets.w3.tue.nl/w/fileadmin/user_upload/Jaarverslag2019.pdf
Technische Universiteit Eindhoven,2022,https://assets.w3.tue.nl/w/fileadmin/user_upload/9073%20TUE_Jaarverslag%202022_Versie_09-11_MEDIUM.pdf
Technische Universiteit Eindhoven,2024,https://assets.w3.tue.nl/w/fileadmin/content/universiteit/publicaties/Jaarverslagen/9542%20TUE_Jaarverslag%202024%20WT%20erratum.pdf
Technische Universiteit Eindhoven,2025,https://assets.w3.tue.nl/w/fileadmin/user_upload2/JaarverslagTUE2025_29.06.2026_wg_logo.pdf
Universiteit Leiden,2020,https://www.universiteitleiden.nl/binaries/content/assets/algemeen/over-ons/jaarverslagen/2020/jaarverslag-universiteit-leiden-2020.pdf
Universiteit Leiden,2021,https://www.universiteitleiden.nl/binaries/content/assets/algemeen/over-ons/jaarverslagen/2021/jaarverslag-universiteit-leiden-2021.pdf
Universiteit Leiden,2022,https://www.universiteitleiden.nl/binaries/content/assets/algemeen/over-ons/jaarverslagen/2022/jaarverslag-universiteit-leiden-2022.pdf
Universiteit Leiden,2023,https://www.universiteitleiden.nl/binaries/content/assets/algemeen/over-ons/jaarverslagen/2023/jaarverslag-universiteit-leiden-2023.pdf
Universiteit Leiden,2024,https://www.universiteitleiden.nl/binaries/content/assets/algemeen/over-ons/jaarverslagen/2024/jaarverslag-universiteit-leiden-2024.pdf
Universiteit Leiden,2025,https://www.universiteitleiden.nl/binaries/content/assets/algemeen/over-ons/jaarverslagen/2025/jaarverslag-universiteit-leiden-2025.pdf
Universiteit van Amsterdam,2025,https://www.uva.nl/binaries/content/assets/uva/nl/over-de-uva/over-de-uva/uva_jaarverslag_nl_25_080626.pdf
Vrije Universiteit Amsterdam,2015,https://jaarverslag.vu.nl/external/asset/download/project/f922520a-03e9-0000-df66-906366f924dd/name/Jaarverslag2015.pdf
Vrije Universiteit Amsterdam,2016,https://jaarverslag.vu.nl/external/asset/download/project/f922520a-03e9-0000-df66-906366f924dd/name/Jaarverslag_VU_2016.pdf
Vrije Universiteit Amsterdam,2017,https://jaarverslag.vu.nl/external/asset/download/project/f922520a-03e9-0000-df66-906366f924dd/name/VU_Jaarverslag%202017.pdf
Vrije Universiteit Amsterdam,2018,https://jaarverslag.vu.nl/external/asset/download/project/f922520a-03e9-0000-df66-906366f924dd/name/VUJaarverslag2018.pdf
Vrije Universiteit Amsterdam,2019,https://jaarverslag.vu.nl/external/asset/download/project/f922520a-03e9-0000-df66-906366f924dd/name/VU_Jaarverslag_2019.pdf
Vrije Universiteit Amsterdam,2020,https://jaarverslag.vu.nl/external/asset/download/project/f922520a-03e9-0000-df66-906366f924dd/name/VU%20Jaarverslag%202020.pdf
Vrije Universiteit Amsterdam,2021,https://jaarverslag.vu.nl/external/asset/download/project/f922520a-03e9-0000-df66-906366f924dd/name/Jaarverslag%20VU%202021.pdf
Vrije Universiteit Amsterdam,2022,https://jaarverslag.vu.nl/external/asset/download/project/f922520a-03e9-0000-df66-906366f924dd/name/Jaarverslag%20VU%202022%20.pdf
Vrije Universiteit Amsterdam,2023,https://jaarverslag.vu.nl/external/asset/download/project/f922520a-03e9-0000-df66-906366f924dd/name/Jaarverslag%20VU%202023.pdf
Vrije Universiteit Amsterdam,2024,https://jaarverslag.vu.nl/external/asset/download/project/f922520a-03e9-0000-df66-906366f924dd/name/Jaarverslag%20VU%202024.pdf
Vrije Universiteit Amsterdam,2025,https://jaarverslag.vu.nl/external/asset/download/project/f922520a-03e9-0000-df66-906366f924dd/name/Jaarverslag%202025%20Stichting%20VU.pdf
Radboud Universiteit,2015,https://www.ru.nl/sites/default/files/2022-12/Radboud-Universiteit-jaarverslag-2015.pdf
Radboud Universiteit,2016,https://www.ru.nl/sites/default/files/2022-12/Radboud-Universiteit-jaarverslag-2016.pdf
Radboud Universiteit,2017,https://www.ru.nl/sites/default/files/2022-12/Radboud-Universiteit-jaarverslag-2017.pdf
Radboud Universiteit,2018,https://www.ru.nl/sites/default/files/2022-12/Radboud-Universiteit-jaarverslag-2018.pdf
Radboud Universiteit,2019,https://www.ru.nl/sites/default/files/2022-12/Radboud-Universiteit-jaarverslag-2019.pdf
Radboud Universiteit,2020,https://www.ru.nl/sites/default/files/2022-12/Radboud-Universiteit-jaarverslag-2020.pdf
Radboud Universiteit,2021,https://www.ru.nl/sites/default/files/2023-06/Jaarverslag_2021_def.pdf
Radboud Universiteit,2022,https://www.ru.nl/sites/default/files/2024-02/Radboud%20Universiteit%20Jaarverslag%20%2B%20Jaarrekening%20%2B%20Bijlagen%202022.pdf
Radboud Universiteit,2023,https://www.ru.nl/sites/default/files/2024-08/Jaarverslag%202023.pdf
Radboud Universiteit,2024,https://www.ru.nl/sites/default/files/2025-06/jaarverslag-radboud-universiteit-2024_0.pdf
Radboud Universiteit,2025,https://www.ru.nl/sites/default/files/2026-06/jaarverslag-2025-met-jaarrekening-radboud-universiteit.pdf
